id_acident	data	hora	tipo_acide	cadloga	cadlogb	x	y
D011500710	26/01/2015	2100	AT	6450	NULL	-46.668205	-23.474959
D021500691	14/02/2015	20	QD	9420	NULL	-46.670124	-23.474287
D021500764	17/02/2015	1415	CT	3771	NULL	-46.669761	-23.475127
D041500866	26/04/2015	1800	CO	9078	NULL	-46.666124	-23.474624
D041500869	03/04/2015	234	CF	15426	NULL	-46.666957	-23.473024
D051500829	02/05/2015	1400	AT	3771	NULL	-46.670295	-23.475498
D051500832	02/05/2015	2043	AT	6450	NULL	-46.66987	-23.476096
D051500899	23/05/2015	817	AT	6135	NULL	-46.668936	-23.476181
D061500994	28/06/2015	1110	CL	9078	NULL	-46.665877	-23.474964
D061501065	03/06/2015	730	AT	3771	NULL	-46.669761	-23.475127
D061501068	02/06/2015	1130	AT	13425	NULL	-46.669384	-23.47386
D071500853	23/07/2015	636	CL	9078	NULL	-46.664607	-23.475404
D071500927	28/07/2015	1800	CO	15425	NULL	-46.671571	-23.473436
D091500737	10/09/2015	518	AT	3771	NULL	-46.6704	-23.475554
D091500749	19/09/2015	530	CO	3771	NULL	-46.669875	-23.475225
D101500210	24/10/2015	1720	CO	9078	NULL	-46.665943	-23.475175
D101500306	01/10/2015	1900	CL	15425	NULL	-46.671857	-23.473694
D101500495	21/10/2015	1436	AT	6450	NULL	-46.668739	-23.475356
D101500517	17/10/2015	856	CO	15426	NULL	-46.667761	-23.47458
D101501033	30/10/2015	1217	AT	9078	NULL	-46.667245	-23.474791
D101501141	26/10/2015	1300	CT	15425	NULL	-46.671531	-23.473735
D101501379	25/10/2015	230	CO	3771	75500	-46.670436	-23.475136
D101501498	10/10/2015	30	SI	3771	NULL	-46.670251	-23.474258
D111500079	22/11/2015	1848	CO	9420	NULL	-46.670557	-23.474393
D111500509	10/11/2015	1100	AT	15426	NULL	-46.667468	-23.473586
D111500536	02/11/2015	30	QM	15425	NULL	-46.670474	-23.474354
D111500641	05/11/2015	739	AT	3771	NULL	-46.670251	-23.474258
D111500792	01/11/2015	2330	AT	15425	NULL	-46.671041	-23.473987
D111500811	16/11/2015	1900	AT	9078	NULL	-46.664894	-23.47589
D111500924	06/11/2015	440	AT	3771	NULL	-46.670482	-23.472804
D011500001	02/01/2015	1700	AT	15584	NULL	-46.627258	-23.552622
D011500002	06/01/2015	1815	AT	16870	NULL	-46.631375	-23.550445
D011500003	06/01/2015	2200	AT	15629	NULL	-46.628097	-23.53894
D011500004	07/01/2015	1625	AT	3403	NULL	-46.633325	-23.546542
D011500005	07/01/2015	2135	AT	19745	7024	-46.631489	-23.546563
D011500006	09/01/2015	100	AT	10376	17545	-46.634363	-23.552011
D011500007	19/01/2015	1030	CO	19764	NULL	-46.636877	-23.553857
D011500008	10/01/2015	728	CO	13317	NULL	-46.639391	-23.552035
D011500009	13/01/2015	814	AT	9758	NULL	-46.64144	-23.55082
D011500010	14/01/2015	1337	AT	3	NULL	-46.765198	-23.681294
D011500011	22/01/2015	830	CL	6642	NULL	-46.637028	-23.521754
D011500012	16/01/2015	1200	CT	33667	NULL	-46.646239	-23.55061
D011500013	16/01/2015	950	AT	11794	NULL	-46.626605	-23.55678
D011500014	30/01/2015	910	CO	11794	15993	-46.624595	-23.556586
D011500016	28/01/2015	1030	AT	13853	NULL	-46.629063	-23.540209
D011500017	26/01/2015	310	CT	10376	NULL	-46.634647	-23.55199
D011500018	29/01/2015	1416	CO	16725	NULL	-46.633603	-23.539226
D011500019	29/01/2015	2030	AT	6642	NULL	-46.636923	-23.52066
D011500020	27/01/2015	1924	CT	10376	NULL	-46.634176	-23.552483
D011500021	27/01/2015	2100	CO	6642	13853	-46.627946	-23.541372
D011500022	30/01/2015	1730	AT	13853	NULL	-46.628402	-23.540853
D011500023	28/01/2015	1925	CO	33306	NULL	-46.632949	-23.556362
D011500024	24/01/2015	615	CO	6642	15967	-46.611802	-23.563494
D011500025	19/01/2015	1445	AT	8064	NULL	-46.661559	-23.549751
D011500028	01/01/2015	228	SI	4561	NULL	-46.644891	-23.519913
D011500029	04/01/2015	1540	CO	4561	NULL	-46.617708	-23.519921
D011500030	04/01/2015	1645	CO	13733	16663	-46.637948	-23.535094
D011500031	13/01/2015	830	CT	4561	NULL	-46.602699	-23.524286
D011500032	08/01/2015	1710	CO	4561	33202	-46.651334	-23.517981
D011500033	09/01/2015	811	CO	4561	NULL	-46.597753	-23.528427
D011500035	20/01/2015	2235	QM	3222	NULL	-46.630037	-23.521538
D011500036	26/01/2015	1140	AT	4561	NULL	-46.597826	-23.528369
D011500038	25/01/2015	310	CT	17799	NULL	-46.63088	-23.525331
D011500039	27/01/2015	1330	QM	18993	NULL	-46.632151	-23.531909
D011500040	31/01/2015	40	CL	1421	2864	-46.644913	-23.524514
D011500041	31/01/2015	1410	CO	4561	NULL	-46.597753	-23.528427
D011500042	03/01/2015	630	CH	17633	15323	-46.637528	-23.543068
D011500043	09/01/2015	950	AT	7281	NULL	-46.638548	-23.547172
D011500044	16/01/2015	930	CL	4659	16321	-46.641605	-23.535766
D011500045	20/01/2015	1756	CO	17115	NULL	-46.638326	-23.542316
D011500046	17/01/2015	1245	AT	9276	6285	-46.637726	-23.540422
D011500047	22/01/2015	1700	AT	12132	NULL	-46.643136	-23.546357
D011500048	28/01/2015	950	AT	14804	NULL	-46.64259	-23.550083
D011500049	23/01/2015	1408	CT	19177	NULL	-46.637813	-23.536952
D011500050	15/01/2015	1200	QD	16593	NULL	-46.633627	-23.535924
D011500051	25/01/2015	1030	CT	17115	2595	-46.63991	-23.539712
D011500052	19/01/2015	1700	CO	19764	NULL	-46.641526	-23.574561
D011500053	21/01/2015	1700	CO	19764	NULL	-46.647146	-23.579172
D011500054	20/01/2015	200	QM	16966	NULL	-46.759959	-23.511525
D011500055	02/01/2015	1730	CO	2497	15468	-46.649558	-23.551074
D011500056	09/01/2015	2100	SI	5245	NULL	-46.645747	-23.547179
D011500057	12/01/2015	900	CO	2497	3874	-46.647978	-23.550571
D011500058	06/01/2015	1015	CT	5245	NULL	-46.651717	-23.549013
D011500059	07/01/2015	1340	CO	8562	15656	-46.660917	-23.557287
D011500062	09/01/2015	1129	CO	5245	17791	-46.66394	-23.556571
D011500063	20/01/2015	1606	CT	13614	NULL	-46.645828	-23.550774
D011500064	15/01/2015	900	QD	5245	3874	-46.648986	-23.548045
D011500066	23/01/2015	700	AT	16028	NULL	-46.655684	-23.559311
D011500072	05/01/2015	1330	CL	19764	NULL	-46.642693	-23.57638
D011500073	06/01/2015	1313	AT	5887	1521	-46.643363	-23.551104
D011500074	13/01/2015	1327	CO	35600	NULL	-46.640179	-23.562832
D011500075	15/01/2015	1050	CO	19764	NULL	-46.640832	-23.567536
D011500076	15/01/2015	1452	QD	12165	NULL	-46.640017	-23.55671
D011500077	19/01/2015	1505	AT	17812	NULL	-46.638583	-23.556722
D011500078	24/01/2015	1341	CH	19764	NULL	-46.641526	-23.574561
D011500079	14/01/2015	2000	QM	19764	NULL	-46.640925	-23.565595
D011500080	30/01/2015	1325	AT	19583	35600	-46.638999	-23.562995
D011500081	20/01/2015	820	AT	33667	NULL	-46.647132	-23.54904
D011500082	15/01/2015	1205	QD	35600	NULL	-46.639771	-23.562915
D011500083	06/01/2015	1300	CO	17083	NULL	-46.612335	-23.579047
D011500084	03/01/2015	2323	AT	651	NULL	-46.612933	-23.564788
D011500085	07/01/2015	1925	CT	5886	17083	-46.614371	-23.581762
D011500086	07/01/2015	1830	AT	2660	16369	-46.629729	-23.564257
D011500087	08/01/2015	1640	AT	11922	NULL	-46.621631	-23.567246
D011500088	09/01/2015	1340	CO	120	NULL	-46.63325	-23.572221
D011500089	14/01/2015	900	CO	11922	3658	-46.630081	-23.588019
D011500091	19/01/2015	820	SI	14576	NULL	-46.639239	-23.578705
D011500092	09/01/2015	2159	CO	797	521	-46.626353	-23.569576
D011500093	10/01/2015	1940	CL	17083	NULL	-46.613947	-23.581668
D011500094	21/01/2015	1300	CF	11922	NULL	-46.622658	-23.571586
D011500095	10/01/2015	1410	CO	10908	NULL	-46.635755	-23.579296
D011500096	26/01/2015	1800	CO	11922	9410	-46.627693	-23.584199
D011500097	30/01/2015	745	CO	7383	19583	-46.631771	-23.590433
D011500098	25/01/2015	638	CO	18563	NULL	-46.609736	-23.577328
D011500099	18/01/2015	655	AT	17083	NULL	-46.618111	-23.584429
D011500100	21/01/2015	2130	CO	5886	NULL	-46.627692	-23.578338
D011500101	17/01/2015	500	AT	19583	NULL	-46.611247	-23.609092
D011500102	24/01/2015	113	CL	15201	NULL	-46.630777	-23.563421
D011500103	16/01/2015	1740	QM	15967	NULL	-46.611018	-23.569894
D011500104	02/01/2015	2000	CF	6642	NULL	-46.608337	-23.568825
D011500105	15/01/2015	1140	QD	10135	14213	-46.60613	-23.555009
D011500106	07/01/2015	2157	CO	543	NULL	-46.585645	-23.543154
D011500107	08/01/2015	2030	CH	6642	NULL	-46.621121	-23.5569
D011500108	11/01/2015	654	CO	6642	NULL	-46.622706	-23.555724
D011500109	17/01/2015	2139	CO	2285	NULL	-46.608893	-23.564121
D011500110	19/01/2015	816	QM	543	NULL	-46.596497	-23.54534
D011500111	22/01/2015	510	AT	543	NULL	-46.588637	-23.54375
D011500112	25/01/2015	720	CO	543	18184	-46.592578	-23.544418
D011500113	27/01/2015	1740	SI	2285	NULL	-46.610496	-23.563573
D011500114	31/01/2015	350	CH	543	NULL	-46.590908	-23.544192
D011500115	29/01/2015	1620	AT	10190	8798	-46.604625	-23.550487
D011500116	15/01/2015	1650	CH	18703	NULL	-46.60009	-23.555486
D011500118	02/01/2015	1640	AT	4561	10528	-46.608717	-23.524265
D011500119	12/01/2015	2010	CO	4736	NULL	-46.603784	-23.538473
D011500120	06/01/2015	855	AT	3653	NULL	-46.613262	-23.533005
D011500121	07/01/2015	1530	CO	10485	17318	-46.620435	-23.535214
D011500122	09/01/2015	1900	AT	5567	NULL	-46.625083	-23.521064
D011500123	12/01/2015	1050	AT	3787	8128	-46.60342	-23.53454
D011500124	12/01/2015	1240	CL	5567	NULL	-46.625796	-23.529797
D011500125	12/01/2015	1300	CO	10485	18993	-46.632409	-23.53235
D011500126	13/01/2015	650	CO	4561	NULL	-46.61051	-23.524055
D011500127	15/01/2015	1230	CO	4539	15053	-46.615371	-23.537755
D011500128	08/01/2015	1630	CL	10177	4736	-46.606662	-23.538993
D011500129	15/01/2015	1630	CT	4736	NULL	-46.604491	-23.538755
D011500130	16/01/2015	1700	CO	10177	17180	-46.611675	-23.532598
D011500131	12/01/2015	1500	CO	2898	13826	-46.612358	-23.53713
D011500132	28/01/2015	830	CO	17400	NULL	-46.62679	-23.542313
D011500133	28/01/2015	1000	CL	3445	8359	-46.613551	-23.525521
D011500134	30/01/2015	1325	AT	16870	8798	-46.612931	-23.540675
D011500135	23/01/2015	1830	CH	15053	13303	-46.616245	-23.537785
D011500136	29/01/2015	1932	CO	4561	NULL	-46.62489	-23.520119
D011500137	26/01/2015	1645	CT	3653	17180	-46.612681	-23.533602
D011500138	05/01/2015	915	AT	10101	NULL	-46.648425	-23.53789
D011500139	15/01/2015	833	AT	1356	NULL	-46.654065	-23.535796
D011500140	10/01/2015	1155	QM	6263	19862	-46.651846	-23.532276
D011500141	21/01/2015	933	AT	1356	NULL	-46.654039	-23.536374
D011500142	13/01/2015	2047	SI	1162	10101	-46.647848	-23.538067
D011500143	22/01/2015	1656	AT	3231	9372	-46.645461	-23.542824
D011500144	21/01/2015	910	CO	1356	NULL	-46.654686	-23.537813
D011500145	21/01/2015	1715	QM	14750	NULL	-46.646064	-23.532385
D011500146	28/01/2015	1115	AT	3674	NULL	-46.658037	-23.530784
D011500147	28/01/2015	840	QM	5431	NULL	-46.647876	-23.547297
D011500148	28/01/2015	1600	CO	4516	19862	-46.650472	-23.534191
D011500149	29/01/2015	1530	AT	17115	NULL	-46.647247	-23.529656
D011500150	30/01/2015	1300	CF	1356	NULL	-46.655604	-23.540809
D011500151	30/01/2015	1323	AT	11883	NULL	-46.645693	-23.536961
D011500152	20/01/2015	2048	CF	9969	989	-46.647647	-23.54471
D011500153	29/01/2015	1905	CL	9646	NULL	-46.656514	-23.539682
D011500154	04/01/2015	2000	CT	15656	NULL	-46.648237	-23.568019
D011500155	12/01/2015	1445	CO	14804	NULL	-46.673063	-23.577191
D011500156	15/01/2015	1525	CT	3274	NULL	-46.642434	-23.573189
D011500157	08/01/2015	1520	CO	15656	NULL	-46.661366	-23.556867
D011500158	23/01/2015	1130	AT	15153	NULL	-46.643984	-23.570696
D011500159	15/01/2015	905	AT	12165	NULL	-46.648923	-23.567602
D011500160	17/01/2015	720	SI	12165	NULL	-46.654522	-23.573109
D011500161	20/01/2015	840	CO	15656	12165	-46.649031	-23.567729
D011500162	20/01/2015	1302	AT	4347	NULL	-46.652793	-23.562522
D011500163	20/01/2015	2314	CO	15656	NULL	-46.662159	-23.556045
D011500164	23/01/2015	1300	CO	4879	NULL	-46.664514	-23.57467
D011500165	03/01/2015	925	CL	3581	19547	-46.673655	-23.567667
D011500166	25/01/2015	1025	CL	3581	7691	-46.676598	-23.565399
D011500167	30/01/2015	1830	CO	15656	NULL	-46.660301	-23.557715
D011500168	30/01/2015	2320	AT	8562	NULL	-46.662941	-23.559332
D011500169	06/01/2015	1440	CO	9159	NULL	-46.646481	-23.622448
D011500170	08/01/2015	1720	AT	5618	NULL	-46.616981	-23.632541
D011500171	13/01/2015	1110	CO	17478	15025	-46.650897	-23.601362
D011500172	13/01/2015	1240	CO	2394	9159	-46.656191	-23.602125
D011500173	16/01/2015	940	CO	6013	NULL	-46.636705	-23.592322
D011500174	07/01/2015	920	CF	15914	NULL	-46.640909	-23.598592
D011500175	09/01/2015	1630	QM	5618	NULL	-46.619265	-23.627589
D011500176	09/01/2015	1700	CO	3523	5618	-46.617741	-23.612465
D011500177	14/01/2015	1200	AT	33750	NULL	-46.632699	-23.601539
D011500178	15/01/2015	1246	CO	35829	NULL	-46.659554	-23.615424
D011500179	17/01/2015	929	CO	3502	NULL	-46.637723	-23.597117
D011500180	20/01/2015	1438	CO	2438	NULL	-46.617814	-23.60669
D011500181	24/01/2015	1550	CO	26501	6045	-46.646421	-23.609244
D011500182	23/01/2015	1600	CL	9159	NULL	-46.645252	-23.62604
D011500183	25/01/2015	2115	CO	3541	9159	-46.645791	-23.624459
D011500184	26/01/2015	840	CO	17755	17937	-46.621582	-23.601443
D011500185	30/01/2015	247	CO	1417	NULL	-46.625831	-23.616495
D011500186	26/01/2015	1530	CL	12242	NULL	-46.648149	-23.60399
D011500187	31/01/2015	1254	AT	9715	NULL	-46.636776	-23.605037
D011500188	31/01/2015	1535	CO	9715	NULL	-46.640241	-23.622512
D011500189	08/01/2015	923	AT	5972	NULL	-46.602193	-23.596087
D011500190	09/01/2015	800	CT	19958	NULL	-46.583732	-23.601686
D011500191	09/01/2015	1250	SI	19958	NULL	-46.590961	-23.592976
D011500192	09/01/2015	1030	AT	5083	18172	-46.600655	-23.598032
D011500193	13/01/2015	1246	CT	7875	NULL	-46.614353	-23.602475
D011500194	13/01/2015	1340	CT	12611	NULL	-46.602645	-23.57688
D011500195	14/01/2015	900	CO	11688	5421	-46.60597	-23.591861
D011500196	06/01/2015	15	CO	10648	3454	-46.607442	-23.58688
D011500197	16/01/2015	800	SI	11913	11506	-46.602292	-23.593885
D011500198	16/01/2015	750	SI	389	2590	-46.591722	-23.595607
D011500199	15/01/2015	1130	AT	5144	NULL	-46.60458	-23.593089
D011500200	19/01/2015	730	CT	15609	6642	-46.599381	-23.582525
D011500201	06/01/2015	1500	CO	950	NULL	-46.595737	-23.595663
D011500202	11/01/2015	2320	QD	2181	NULL	-46.531588	-23.5440
D011500203	19/01/2015	1358	AT	18563	NULL	-46.606771	-23.577026
D011500204	07/01/2015	1630	CL	12611	NULL	-46.6026	-23.577392
D011500205	20/01/2015	1700	QM	2590	NULL	-46.591226	-23.596323
D011500206	13/01/2015	2219	CO	13959	NULL	-46.599379	-23.585941
D011500207	22/01/2015	630	AT	15609	NULL	-46.606192	-23.583399
D011500208	21/01/2015	1600	AT	7875	NULL	-46.612358	-23.602508
D011500209	22/01/2015	1500	CL	15712	NULL	-46.605095	-23.572463
D011500210	28/01/2015	1430	CT	3454	NULL	-46.607381	-23.588643
D011500211	21/01/2015	1410	CF	1247	NULL	-46.594591	-23.63641
D011500212	07/01/2015	741	CL	16431	NULL	-46.610468	-23.613051
D011500213	11/01/2015	153	QM	6271	NULL	-46.611156	-23.639942
D011500214	11/01/2015	420	CH	5959	NULL	-46.619378	-23.620014
D011500215	13/01/2015	1730	CO	6848	NULL	-46.615086	-23.626609
D011500216	27/01/2015	930	CO	46670	NULL	-46.618379	-23.627017
