id_veiculo	id_acidente	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
1	D011600001	MO	CJW9221	M	39	SI	X	BR	2
2	D011600001	AU	GAU0855	M	42	SI	X	BR	5
1	D011600003	MO	FSP9632	M	25	SI	X	BR	5
1	D011600004	AU	COL4896	M	23	HA	X	BR	3
2	D011600004	AU	CHI1529	M	31	HA	X	BR	5
1	D011600005	MO	EQE9436	M	19	SI	X	BR	5
2	D011600005	ON	EZL3247	M	57	SI	X	BR	3
1	D011600006	AU	COL7262	M	28	SI	X	BR	3
1	D011600007	AU	ECT8604	M	40	SI	X	BR	5
2	D011600007	BI	       	F	68	NE	X	BR	8
1	D011600008	AU	EBD1256	M	49	SI	X	BR	2
1	D011600009	MO	EQS0877	M	27	SI	X	BR	4
2	D011600009	AU	FAO5501	M	63	SI	X	BR	4
1	D011600010	AU	CWJ9326	M	30	SI	X	BR	5
1	D011600011	MO	FIM3807	M	36	SI	X	BR	6
2	D011600011	AU	CFW0662	M	23	SI	X	BR	5
1	D011600012	ON	       	M	SI	SI	X	BR	8
1	D011600013	AU	COK7835	M	31	SI	X	BR	3
2	D011600013	MO	EQS9421	M	32	SI	X	BR	3
1	D011600014	AU	CSL1159	M	54	SI	X	BR	3
2	D011600014	BI	       	M	65	SI	X	BR	3
1	D011600015	MO	GAJ6828	F	26	SI	X	BR	5
2	D011600015	AU	FSS4003	M	SI	SI	X	BR	8
1	D011600016	AU	EQN1767	M	29	SI	X	BR	7
2	D011600016	MO	GAD1099	M	21	SI	X	BR	3
1	D011600017	MO	DUW2588	M	25	SI	X	BR	3
2	D011600017	AU	DUF8096	M	28	SI	X	BR	7
1	D011600018	AU	FQC6392	F	35	SI	X	BR	8
3	D011600018	AU	FYA8890	M	19	SI	X	BR	5
2	D011600018	CM	FLR3853	F	49	SI	X	BR	7
1	D011600019	AU	EZL7434	M	45	SI	X	BR	3
2	D011600019	AU	       	F	49	SI	X	BR	7
1	D011600020	AU	FHQ2402	F	29	HA	X	BR	7
1	D011600021	MO	FQK6230	M	29	SI	X	BR	6
2	D011600021	AU	       	F	38	SI	X	BR	3
1	D011600022	CM	FAZ1181	M	40	SI	X	BR	7
1	D011600023	MO	DRZ8305	M	31	SI	X	BR	3
2	D011600023	ON	DTE5689	M	61	SI	X	BR	3
1	D011600024	MO	DUX7236	M	56	SI	X	BR	3
2	D011600024	AU	FKO6103	F	39	SI	X	BR	7
1	D011600025	AU	CDK5704	M	46	SI	X	BR	3
1	D011600026	MO	EQD7990	M	42	SI	X	BR	3
2	D011600026	AU	EGS4331	M	64	SI	X	BR	3
1	D011600027	AU	FLS9207	M	31	SI	X	BR	7
2	D011600027	CM	DIQ4194	M	24	SI	X	BR	5
1	D011600028	CA	GEL0087	M	63	SI	X	BR	3
2	D011600028	CM	BCT8880	M	49	SI	X	BR	3
1	D011600029	SI	       	X	SI	SI	X	BR	8
1	D011600030	MO	CWW3828	M	26	SI	X	BR	8
2	D011600030	AU	DDN1791	M	SI	SI	X	BR	8
1	D011600031	MO	EJR1910	M	31	SI	X	BR	8
2	D011600031	MO	EKZ0955	M	49	SI	X	BR	8
1	D011600032	AU	EQF7762	F	19	SI	X	BR	3
1	D011600033	AU	ERX0035	M	28	SI	X	BR	5
3	D011600033	AU	EBM6775	M	35	SI	X	BR	7
2	D011600033	AU	CNM5906	M	63	SI	X	BR	8
1	D011600034	ON	DTD0580	M	27	SI	X	BR	5
1	D011600035	ON	FCB1865	M	36	SI	X	BR	3
2	D011600035	BI	       	M	26	NE	X	BR	5
1	D011600036	MO	DNM2987	M	28	SI	X	BR	8
2	D011600036	AU	       	X	SI	SI	X	BR	8
1	D011600037	MO	EGY3685	M	29	SI	X	BR	5
2	D011600037	AU	DPR6627	M	44	SI	X	BR	3
1	D011600038	AU	FFS0638	M	SI	SI	X	BR	8
1	D011600039	MO	FTO0379	M	30	SI	X	BR	5
1	D011600040	MO	BJY7340	M	56	SI	X	BR	5
1	D011600041	AU	EKO4565	M	49	SI	X	BR	3
1	D011600042	MO	EXB6899	M	31	SI	X	BR	5
2	D011600042	AU	       	F	SI	SI	X	BR	8
1	D011600043	MO	HIY3971	M	29	SI	X	BR	8
1	D011600044	AU	ELH8057	M	29	SI	X	BR	5
2	D011600044	AU	FRA1603	M	22	SI	X	BR	5
1	D011600045	MO	FBG5084	M	52	SI	X	BR	3
2	D011600045	AU	FQR2281	M	39	SI	X	BR	7
1	D011600046	MO	EXB6101	M	31	SI	X	BR	7
2	D011600046	AU	EBY3251	M	17	IN	X	BR	8
1	D011600047	MO	FAX4900	M	38	SI	X	BR	8
2	D011600047	AU	DRN7690	M	28	SI	X	BR	8
1	D011600048	MO	IMS2574	M	25	SI	X	BR	5
2	D011600048	SI	       	F	SI	SI	X	BR	8
1	D011600049	MO	EJO8244	M	19	SI	X	BR	3
2	D011600049	ON	EFV6077	M	48	SI	X	BR	8
1	D011600050	AU	EYN9187	M	58	SI	X	BR	7
2	D011600050	ON	FUV2831	M	37	SI	X	BR	5
1	D011600051	AU	EBX5496	M	SI	SI	X	BR	8
2	D011600051	AU	DRB6957	F	22	SI	X	BR	5
1	D011600052	MO	EJM1901	M	20	SI	X	BR	3
2	D011600052	AU	FAN3453	M	61	SI	X	BR	7
1	D011600053	AU	DRT9134	F	SI	SI	X	BR	8
1	D011600054	AU	DTA6206	M	47	SI	X	BR	5
2	D011600054	AU	FJT0657	M	32	SI	X	BR	5
1	D011600055	AU	ELW5053	M	28	SI	X	BR	7
1	D011600056	MO	DGH5877	M	40	SI	X	BR	2
2	D011600056	AU	       	F	SI	SI	X	BR	8
1	D011600057	AU	DGE2962	M	39	SI	X	BR	3
1	D011600058	MO	JYJ4303	M	27	SI	X	BR	5
2	D011600058	AU	EXZ5506	F	30	SI	X	BR	5
1	D011600059	MO	EQR0471	M	26	SI	X	BR	3
2	D011600059	MO	       	M	SI	SI	X	BR	8
1	D011600060	AU	EJG6741	F	33	SI	X	BR	5
2	D011600060	AU	BFD1245	M	SI	SI	X	BR	8
1	D011600061	AU	dez-45	F	51	SI	X	BR	7
1	D011600062	MO	FHX0222	F	49	SI	X	BR	3
2	D011600062	CA	       	X	SI	SI	X	BR	8
1	D011600063	AU	HMO9960	F	39	SI	X	BR	7
2	D011600063	CM	FTV4191	M	32	SI	X	BR	5
1	D011600064	AU	DER1112	M	39	SI	X	BR	5
1	D011600065	AU	EQT0804	M	25	SI	X	BR	7
2	D011600065	MC	CAP6132	F	42	SI	X	BR	7
1	D011600066	MO	DYU7881	M	36	SI	X	BR	5
2	D011600066	AU	MJK2928	F	46	SI	X	BR	7
1	D011600067	MO	EQR7347	M	35	SI	X	BR	5
3	D011600067	AU	FGM9924	M	40	SI	X	BR	7
2	D011600067	AU	EKK6285	M	28	SI	X	BR	5
1	D011600068	CM	FTU2224	M	46	SI	X	BR	8
1	D011600069	AU	ELV6998	F	52	SI	X	BR	5
2	D011600069	MO	       	M	34	SI	X	BR	5
1	D011600070	MO	BYV8945	M	40	SI	X	BR	8
2	D011600070	AU	       	F	SI	SI	X	BR	8
1	D011600071	MO	EIE6660	M	SI	SI	X	BR	8
2	D011600071	AU	FJP4095	F	25	SI	X	BR	8
1	D011600072	MO	EJM2071	M	43	SI	X	BR	3
1	D011600073	AU	       	X	SI	SI	X	BR	8
