id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011100001	01	AU	KWP2259	M	21	SI	X	BR	7
D011100002	01	MO	DYW2218	M	27	SI	X	BR	7
D011100002	02	AU	BST2825	M	61	SI	X	BR	6
D011100003	01	MO	DZQ2780	M	30	SI	X	BR	5
D011100003	02	AU	DSG0177	X	SI	SI	X	BR	8
D011100004	01	AU	EMP8973	M	35	SI	X	BR	5
D011100004	02	AU	EES4965	M	48	SI	X	BR	5
D011100005	01	MO	DVU5879	M	28	SI	X	BR	7
D011100005	02	AU	EFU6878	M	71	SI	X	BR	8
D011100006	01	MO	EJM2403	M	21	SI	X	BR	5
D011100007	01	AU	EEY8407	M	24	SI	X	BR	8
D011100008	01	MO	SI     	M	SI	SI	X	BR	5
D011100008	02	AU	EVA0000	X	SI	SI	X	BR	8
D011100008	03	AU	DYA4323	M	28	SI	X	BR	5
D011100009	01	OU	ECT7839	X	SI	SI	X	BR	8
D011100010	01	AU	CRW4523	M	28	SI	X	BR	5
D011100011	01	AU	CNT2842	M	22	SI	X	BR	6
D011100012	01	AU	DVI0997	X	34	SI	X	BR	5
D011100013	01	AU	CJB0558	M	52	SI	X	BR	8
D011100013	02	AU	DMG5515	M	34	SI	X	BR	7
D011100014	01	AU	DDR4315	M	28	SI	X	BR	8
D011100015	01	OU	DJE8770	M	40	HA	X	BR	3
D011100016	01	ON	DJE8569	M	48	SI	X	BR	3
D011100017	01	AU	CMJ1596	F	44	SI	X	BR	7
D011100018	01	MO	DZS7350	M	26	SI	X	BR	3
D011100018	02	AU	ETN7669	M	61	SI	X	BR	7
D011100019	01	SI	EVA0000	X	SI	SI	X	BR	8
D011100020	01	AU	DJB1839	X	SI	SI	X	BR	8
D011100021	01	AU	AOJ4569	F	30	SI	X	BR	7
D011100022	01	AU	EVA0000	X	SI	SI	X	BR	8
D011100023	01	AU	EBB9013	M	39	SI	X	BR	3
D011100023	02	BI	SI     	M	12	NE	X	BR	3
D011100024	01	MO	DWV1190	F	31	HA	X	BR	7
D011100024	02	CM	FDJ8800	M	27	HA	X	BR	5
D011100025	01	MO	EVA0000	X	SI	SI	X	BR	8
D011100026	01	MO	DCS8807	M	37	SI	X	BR	7
D011100027	01	SI	SI     	M	29	SI	X	BR	8
D011100028	01	MO	DZN7560	M	25	SI	X	BR	5
D011100028	02	AU	EQK6073	M	28	SI	X	BR	5
D011100029	01	AU	EMX1450	M	47	SI	X	BR	7
D011100030	01	MO	SI     	X	SI	SI	X	BR	8
D011100030	02	MO	KUS2824	M	26	SI	X	BR	5
D011100030	03	AU	JJA1492	X	SI	SI	X	BR	8
D011100031	01	CA	ERA7799	M	29	SI	X	BR	7
D011100031	02	CM	EBC3474	F	34	SI	X	BR	7
D011100032	01	ON	DTC6706	M	22	SI	X	BR	5
D011100033	01	CM	BOE9452	M	52	SI	X	BR	3
D011100033	02	BI	SI     	M	36	NE	X	BR	8
D011100034	01	AU	EMF0496	F	38	HA	X	BR	7
D011100035	01	AU	EBC9051	F	44	SI	X	BR	7
D011100035	02	SI	SI     	M	38	SI	X	BR	3
D011100036	01	AU	DPX3389	F	36	SI	X	BR	7
D011100036	02	MO	CJN6560	M	36	SI	X	BR	8
D011100037	01	AU	DWA3015	M	23	SI	X	BR	5
D011100038	01	MO	JLX0381	M	27	SI	X	BR	5
D011100039	01	MO	DXM2476	M	24	SI	X	BR	5
D011100040	01	MO	DXK2959	M	30	SI	X	BR	7
D011100040	02	MO	EXE4931	M	42	SI	X	BR	3
D011100041	01	MO	EJN3284	M	34	SI	X	BR	7
D011100041	02	AU	CYQ7235	M	32	SI	X	BR	5
D011100042	01	MO	EQR4341	M	46	SI	X	BR	3
D011100043	01	OU	DTB7247	M	45	HA	X	BR	5
D011100044	01	CA	BTO9309	M	44	SI	X	BR	4
D011100044	02	CM	DDR6554	M	38	SI	X	BR	5
D011100045	01	AU	EIT5775	X	SI	SI	X	BR	8
D011100045	02	CM	EPP4502	F	31	SI	X	BR	7
D011100045	03	AU	DIF2945	X	SI	SI	X	BR	8
D011100045	04	AU	DHK3039	F	25	SI	X	BR	8
D011100047	01	MO	DUY7018	M	19	IN	X	BR	3
D011100047	02	AU	EVA0000	X	SI	SI	X	BR	8
D011100048	01	MO	DUV7444	M	62	SI	X	BR	7
D011100048	02	AU	DLM4825	M	25	SI	X	BR	3
D011100049	01	OU	DJC2065	M	58	HA	X	BR	3
D011100050	01	AU	CLX0223	M	57	SI	X	BR	8
D011100050	02	CM	DPA8958	M	26	SI	X	BR	6
D011100051	01	AU	DIM2731	M	44	SI	X	BR	7
D011100052	01	AU	DPN2328	M	43	SI	X	BR	5
D011100053	01	AU	CJD6100	M	53	SI	X	BR	7
D011100053	02	OU	DTB1465	M	SI	HA	X	BR	8
D011100054	01	AU	CQZ7095	M	41	SI	X	BR	8
D011100054	02	AU	EQF8169	F	22	SI	X	BR	3
D011100055	01	MO	DRW7741	M	50	SI	X	BR	3
D011100056	01	MO	MDS1171	M	26	IN	X	BR	7
D011100057	01	MO	DKM4788	M	27	SI	X	BR	3
D011100058	01	MO	EVA0000	X	SI	SI	X	BR	8
D011100059	01	MO	DXN6075	M	25	HA	X	BR	3
D011100059	02	CM	ELC6653	M	43	HA	X	BR	5
D011100060	01	AU	DMZ9506	M	24	SI	X	BR	6
D011100061	01	AU	EMV1223	M	51	SI	X	BR	3
D011100062	01	MO	DPH3903	M	25	SI	X	BR	8
D011100062	02	OU	DTE1437	M	31	HA	X	BR	4
D011100062	03	AU	DRB2259	M	40	SI	X	BR	3
D011100063	01	MO	DUW0314	M	24	SI	X	BR	5
D011100064	01	AU	CIC6605	M	48	HA	X	BR	4
D011100065	01	CM	DVR2163	M	SI	SI	X	BR	8
D011100066	01	MO	EVA0000	X	SI	SI	X	BR	8
D011100066	02	BI	SI     	M	13	NE	X	BR	2
D011100067	01	AU	DGA4988	M	60	HA	X	BR	3
D011100067	02	MO	EVA0000	X	SI	SI	X	BR	8
D011100067	03	MO	EIQ6309	M	43	HA	X	BR	3
D011100068	01	AU	EFV0669	M	38	SI	X	BR	7
D011100068	02	AU	CTA0570	M	58	SI	X	BR	3
D011100069	01	MO	DYZ5369	M	30	SI	X	BR	3
D011100069	02	AU	HML6608	M	26	SI	X	SA	5
D011100070	01	AU	EFA1823	F	30	SI	X	BR	5
D011100070	02	AU	DRO6664	M	SI	SI	X	BR	8
D011100071	01	OU	CZZ8185	M	39	HA	X	BR	3
D011100072	01	MO	TRV1559	X	SI	SI	X	BR	8
D011100073	01	MO	CDP0951	M	39	SI	X	BR	8
D011100073	02	AU	DWQ0545	M	30	SI	X	BR	5
D011100074	01	MO	ECD6620	F	21	SI	X	BR	4
D011100074	02	AU	SI     	F	SI	SI	X	BR	8
D011100075	01	MO	DRW2776	M	27	HA	X	BR	8
