MAPINFO_ID	ID_VEICULO	ID_ACIDENT	TIPO_VEICU	SEXO_CONDU	IDADE_COND	CATEGORIA_	USA_CINTO_	EST_ALCOOL	ESCOLARIDA
1	01	D011500001	SI	X	SI	SI	X	BR	8
2	01	D011500002	JI	M	40	SI	X	BR	7
3	01	D011500003	AU	M	27	SI	X	BR	5
4	01	D011500004	CM	M	22	SI	X	BR	3
5	01	D011500005	AU	M	43	SI	X	BR	8
6	01	D011500006	AU	M	31	SI	X	BR	5
7	01	D011500007	MO	M	27	SI	X	BR	5
8	02	D011500007	CM	M	53	SI	X	BR	7
9	01	D011500008	BI	M	34	NE	X	BR	8
10	02	D011500008	AU	M	56	SI	X	BR	5
11	01	D011500009	AU	F	65	SI	X	BR	5
12	01	D011500010	MO	M	27	SI	X	BR	3
13	01	D011500011	AU	M	33	SI	X	BR	5
14	02	D011500011	CA	M	35	SI	X	BR	8
15	01	D011500012	CM	F	21	SI	X	BR	7
16	02	D011500012	AU	M	40	SI	X	BR	5
17	03	D011500012	AU	M	45	SI	X	BR	6
18	01	D011500013	OU	M	54	SI	X	BR	5
19	01	D011500014	MO	M	57	SI	X	BR	8
20	02	D011500014	AU	F	38	SI	X	BR	5
21	01	D011500016	MO	M	21	SI	X	BR	5
22	01	D011500017	AU	M	38	SI	X	BR	3
23	02	D011500017	AU	M	18	SI	X	BR	3
24	01	D011500018	MO	F	33	SI	X	BR	7
25	02	D011500018	AU	M	31	SI	X	BR	7
26	01	D011500019	AU	M	26	SI	X	BR	6
27	01	D011500020	AU	F	33	SI	X	BR	7
28	02	D011500020	OU	M	36	SI	X	BR	3
29	01	D011500021	MO	M	45	SI	X	BR	3
30	02	D011500021	CM	M	37	SI	X	BR	3
31	01	D011500022	AU	M	52	SI	X	BR	7
32	01	D011500023	MO	M	49	SI	X	BR	5
33	02	D011500023	AU	X	SI	SI	X	BR	8
34	01	D011500024	AU	X	SI	SI	X	BR	8
35	02	D011500024	MO	M	23	SI	X	BR	5
36	01	D011500025	MO	M	SI	SI	X	BR	8
37	01	D011500028	SI	M	SI	SI	X	BR	8
38	02	D011500028	SI	F	SI	SI	X	BR	8
39	01	D011500029	AU	X	SI	SI	X	BR	8
40	02	D011500029	MO	M	23	SI	X	BR	3
41	01	D011500030	OU	M	44	SI	X	BR	5
42	02	D011500030	BI	M	30	NE	X	BR	8
43	01	D011500031	CM	F	37	SI	X	BR	7
44	02	D011500031	AU	M	42	SI	X	BR	5
45	03	D011500031	AU	X	SI	SI	X	BR	8
46	01	D011500113	CM	M	31	SI	X	BR	5
47	02	D011500113	MO	M	26	SI	X	BR	5
48	01	D011500032	CM	M	53	SI	X	BR	8
49	02	D011500032	MO	M	45	SI	X	BR	8
50	01	D011500033	AU	M	48	SI	X	BR	7
51	02	D011500033	MO	M	35	SI	X	BR	8
52	01	D011500035	MO	M	56	SI	X	BR	5
53	01	D011500036	AU	F	70	SI	X	BR	3
54	01	D011500038	AU	M	26	SI	X	BR	7
55	02	D011500038	AU	M	26	SI	X	BR	5
56	03	D011500038	CM	M	56	SI	X	BR	3
57	01	D011500039	MO	M	34	SI	X	BR	8
58	01	D011500040	AU	M	36	SI	X	BR	5
59	02	D011500040	BI	M	27	NE	X	BR	8
60	01	D011500041	CM	M	34	SI	X	BR	3
61	02	D011500041	MO	F	25	SI	X	BR	8
62	01	D011500043	AU	X	SI	SI	X	BR	8
63	01	D011500044	MO	M	32	SI	X	BR	5
64	02	D011500044	AU	M	66	SI	X	BR	2
65	01	D011500045	MO	M	27	SI	X	BR	5
66	02	D011500045	AU	M	56	SI	X	BR	2
67	01	D011500046	OU	M	37	SI	X	BR	8
68	01	D011500047	MO	M	33	SI	X	BR	7
69	01	D011500049	MO	M	70	SI	X	BR	5
70	02	D011500049	CM	M	57	SI	X	BR	7
71	01	D011500050	OU	M	SI	SI	X	BR	8
72	01	D011500051	AU	F	40	SI	X	BR	5
73	02	D011500051	AU	M	34	SI	X	BR	3
74	01	D011500052	MO	M	65	SI	X	BR	7
75	02	D011500052	AU	M	45	SI	X	BR	8
76	01	D011500053	MO	M	37	SI	X	BR	5
77	02	D011500053	AU	X	SI	SI	X	BR	8
78	01	D011500054	MO	M	44	SI	X	BR	3
79	01	D011500055	ON	M	36	SI	X	BR	5
80	01	D011500056	AU	F	35	SI	X	BR	7
81	02	D011500056	MO	M	25	SI	X	BR	5
82	01	D011500057	AU	M	29	SI	X	BR	6
83	02	D011500057	MO	M	36	SI	X	BR	7
84	01	D011500058	AU	F	26	SI	X	BR	7
85	02	D011500058	CM	M	29	SI	X	BR	5
86	01	D011500059	AU	M	62	SI	X	BR	3
87	02	D011500059	MO	M	31	SI	X	BR	3
88	01	D011500466	AU	M	32	SI	X	BR	5
89	02	D011500466	CM	M	43	SI	X	BR	3
90	03	D011500466	AU	M	32	SI	X	BR	5
91	01	D011500063	CM	F	35	SI	X	BR	7
92	02	D011500063	MO	M	19	SI	X	BR	3
93	01	D011500064	ON	X	SI	SI	X	BR	8
94	01	D011500065	AU	M	31	SI	X	BR	3
95	02	D011500065	MO	M	27	SI	X	BR	5
96	01	D011500066	AU	M	30	SI	X	BR	7
97	01	D011500067	CM	M	44	SI	X	BR	8
98	01	D011500068	MO	M	28	SI	X	BR	5
99	01	D011500069	MO	M	29	SI	X	BR	5
100	01	D011500070	AU	M	56	SI	X	BR	7
101	02	D011500070	MO	M	63	SI	X	BR	5
102	01	D011500071	OU	M	35	SI	X	BR	5
103	01	D011500072	AU	F	32	SI	X	BR	7
104	02	D011500072	MO	M	37	SI	X	BR	5
105	01	D011500073	SI	X	SI	SI	X	BR	8
106	01	D011500074	MO	M	42	SI	X	BR	3
107	02	D011500074	AU	M	35	SI	X	BR	6
108	01	D011500075	MO	M	39	SI	X	BR	3
109	02	D011500075	SI	X	SI	SI	X	BR	8
110	01	D011500076	OU	M	41	SI	X	BR	5
111	01	D011500077	AU	M	48	SI	X	BR	7
112	01	D011500078	AU	M	25	SI	X	BR	5
113	02	D011500078	AU	M	29	SI	X	BR	8
114	03	D011500078	MO	M	34	SI	X	BR	3
115	01	D011500079	MO	M	31	SI	X	BR	7
116	01	D011500080	AU	F	36	SI	X	BR	6
117	01	D011500081	SI	X	SI	SI	X	BR	8
118	01	D011500082	OU	M	40	SI	X	BR	3
119	01	D011500083	MO	M	27	SI	X	BR	3
120	02	D011500083	CA	M	26	SI	X	BR	8
121	01	D011500084	AU	M	26	SI	X	BR	2
122	01	D011500085	MO	M	27	SI	X	BR	3
123	02	D011500085	CM	M	49	SI	X	BR	7
124	01	D011500087	AU	X	SI	SI	X	BR	8
125	01	D011500088	AU	M	65	SI	X	BR	7
126	02	D011500088	OU	M	68	SI	X	BR	3
127	01	D011500089	MO	M	22	SI	X	BR	5
128	02	D011500089	CM	M	33	SI	X	BR	3
129	01	D011500091	MO	X	SI	SI	X	BR	8
130	02	D011500091	MO	M	35	SI	X	BR	5
131	01	D011500092	MO	M	17	IN	X	BR	2
132	02	D011500092	OU	M	32	SI	X	BR	3
133	01	D011500093	MO	M	39	SI	X	BR	5
134	02	D011500093	AU	F	35	SI	X	BR	5
135	01	D011500094	AU	M	41	SI	X	BR	7
136	02	D011500094	CM	F	65	SI	X	BR	7
137	01	D011500095	BI	M	35	NE	X	BR	6
138	02	D011500095	AU	F	38	SI	X	BR	7
139	01	D011500096	MO	M	28	SI	X	BR	5
140	02	D011500096	AU	M	21	SI	X	BR	5
141	01	D011500097	MO	M	30	SI	X	BR	5
142	02	D011500097	AU	M	44	SI	X	BR	7
143	01	D011500098	AU	M	SI	SI	X	BR	8
144	02	D011500098	AU	M	27	SI	X	BR	5
145	01	D011500099	SI	X	SI	SI	X	BR	8
146	01	D011500100	AU	M	SI	SI	X	BR	8
147	02	D011500100	MO	M	24	SI	X	BR	3
148	01	D011500101	AU	X	SI	SI	X	BR	8
149	01	D011500102	MO	M	20	SI	X	BR	3
150	02	D011500102	AU	F	55	SI	X	BR	7
151	01	D011500103	MO	F	50	SI	X	BR	5
152	01	D011500104	CM	M	36	SI	X	BR	3
153	02	D011500104	MO	M	29	SI	X	BR	5
154	01	D011500105	ON	M	67	SI	X	BR	5
155	01	D011500106	SI	X	SI	SI	X	BR	8
156	02	D011500106	MO	M	38	SI	X	BR	8
157	01	D011500107	AU	M	32	SI	X	BR	5
158	02	D011500107	AU	M	36	SI	X	BR	8
159	01	D011500108	SI	X	SI	SI	X	BR	8
160	02	D011500108	MO	M	31	SI	X	BR	5
161	01	D011500109	AU	X	SI	SI	X	BR	8
162	02	D011500109	MO	M	32	SI	X	BR	8
163	01	D011500110	MO	F	34	SI	X	BR	7
164	01	D011500111	SI	X	SI	SI	X	BR	8
165	01	D011500112	AU	M	46	SI	X	BR	5
166	02	D011500112	MO	M	33	SI	X	BR	7
167	01	D011500114	AU	M	30	SI	X	BR	8
168	01	D011500115	SI	X	SI	SI	X	BR	8
169	01	D011500116	AU	M	40	SI	X	BR	5
170	02	D011500116	AU	M	SI	SI	X	BR	8
171	03	D011500116	MO	M	SI	SI	X	BR	8
172	01	D011500118	OU	M	42	SI	X	BR	5
173	01	D011500119	BI	M	27	NE	X	BR	5
174	02	D011500119	SI	X	SI	SI	X	BR	8
175	01	D011500120	CM	M	35	SI	X	BR	7
176	01	D011500121	AU	M	62	SI	X	BR	3
177	02	D011500121	AU	M	53	SI	X	BR	3
178	01	D011500122	MO	M	SI	SI	X	BR	8
179	01	D011500123	CA	M	34	SI	X	BR	5
180	01	D011500124	MO	M	41	SI	X	BR	3
181	02	D011500124	AU	M	39	SI	X	BR	5
182	01	D011500126	MO	M	42	SI	X	BR	8
183	02	D011500126	CA	M	38	SI	X	BR	5
184	01	D011500127	MO	M	55	SI	X	BR	3
185	02	D011500127	CA	M	50	SI	X	BR	3
186	01	D011500128	AU	M	17	IN	X	BR	5
187	02	D011500128	CM	M	39	SI	X	BR	5
188	01	D011500129	ON	M	45	SI	X	BR	8
189	02	D011500129	CA	M	46	SI	X	BR	3
190	01	D011500130	MO	M	SI	SI	X	BR	8
191	02	D011500130	AU	F	53	SI	X	BR	7
192	01	D011500131	CM	M	33	SI	X	BR	8
193	02	D011500131	CM	F	29	SI	X	BR	8
194	01	D011500132	MO	M	38	SI	X	BR	5
195	02	D011500132	CM	M	26	SI	X	BR	5
196	01	D011500133	MO	M	26	SI	X	BR	5
197	02	D011500133	AU	M	58	SI	X	BR	7
198	01	D011500134	OU	M	42	SI	X	BR	5
199	01	D011500135	AU	M	29	SI	X	BR	8
200	02	D011500135	AU	X	SI	SI	X	BR	8
201	01	D011500136	MO	M	37	SI	X	BR	8
202	02	D011500136	CM	M	29	SI	X	BR	8
203	01	D011500137	MO	M	SI	SI	X	BR	8
204	02	D011500137	AU	M	28	SI	X	BR	7
205	01	D011500138	CM	M	24	SI	X	BR	5
206	01	D011500139	CM	F	28	SI	X	BR	7
207	01	D011500140	MO	M	61	SI	X	BR	8
208	01	D011500141	AU	F	38	SI	X	BR	7
209	01	D011500142	CM	M	57	SI	X	BR	5
210	02	D011500142	MO	M	22	SI	X	BR	5
211	01	D011500144	AU	X	SI	SI	X	BR	8
212	02	D011500144	MO	M	35	SI	X	BR	5
213	01	D011500145	MO	M	39	SI	X	BR	5
214	01	D011500146	AU	M	29	SI	X	BR	5
215	01	D011500147	MO	M	24	SI	X	BR	7
216	01	D011500148	MO	M	35	SI	X	BR	5
217	02	D011500148	MO	M	35	SI	X	BR	5
218	01	D011500149	OU	X	SI	SI	X	BR	8
219	01	D011500150	AU	M	34	SI	X	BR	5
220	02	D011500150	MO	M	41	SI	X	BR	3
221	01	D011500151	MO	M	22	SI	X	BR	3
222	01	D011500152	AU	M	61	SI	X	BR	8
223	02	D011500152	BI	F	14	NE	X	BR	8
224	01	D011500153	AU	M	31	SI	X	BR	4
225	02	D011500153	MO	M	31	SI	X	BR	6
226	03	D011500153	AU	M	51	SI	X	BR	5
227	04	D011500153	AU	M	60	SI	X	BR	3
228	05	D011500153	AU	M	46	SI	X	BR	5
229	01	D011500154	AU	M	42	SI	X	BR	5
230	02	D011500154	BI	M	22	NE	X	BR	5
231	01	D011500155	MO	M	23	SI	X	BR	5
232	02	D011500155	AU	F	63	SI	X	BR	8
233	01	D011500156	MO	M	46	SI	X	BR	3
234	02	D011500156	AU	M	26	SI	X	BR	5
235	01	D011500157	MO	M	29	SI	X	BR	3
236	02	D011500157	CM	F	63	SI	X	BR	8
237	01	D011500158	SI	X	SI	SI	X	BR	8
238	01	D011500159	OU	M	31	SI	X	BR	5
239	01	D011500160	MO	M	24	SI	X	BR	4
240	02	D011500160	AU	M	45	SI	X	BR	3
241	01	D011500161	AU	F	26	SI	X	BR	5
242	02	D011500161	MO	M	32	SI	X	BR	3
243	01	D011500162	AU	M	81	SI	X	BR	8
244	01	D011500163	BI	F	35	NE	X	BR	6
245	02	D011500163	MO	M	28	SI	X	BR	5
246	01	D011500164	AU	M	68	SI	X	BR	7
247	01	D011500165	AU	M	54	SI	X	BR	7
248	02	D011500165	MO	M	22	SI	X	BR	5
249	01	D011500166	AU	M	50	SI	X	BR	5
250	02	D011500166	AU	M	42	SI	X	BR	8
251	01	D011500167	MO	M	34	SI	X	BR	3
252	02	D011500167	AU	F	22	SI	X	BR	6
253	03	D011500167	AU	M	49	SI	X	BR	7
254	01	D011500168	SI	X	SI	SI	X	BR	8
255	01	D011500169	SI	X	SI	SI	X	BR	8
256	02	D011500169	CM	M	46	SI	X	BR	5
257	03	D011500169	MO	F	19	SI	X	BR	3
258	01	D011500170	MO	M	56	SI	X	BR	5
259	01	D011500171	AU	F	38	SI	X	BR	7
260	02	D011500171	MO	F	41	SI	X	BR	3
261	01	D011500172	AU	M	44	SI	X	BR	8
262	02	D011500172	MO	M	48	SI	X	BR	5
263	01	D011500173	OU	M	53	SI	X	BR	3
264	02	D011500173	OU	M	31	SI	X	BR	5
265	01	D011500174	AU	M	41	SI	X	BR	7
266	02	D011500174	MO	M	27	SI	X	BR	7
267	01	D011500175	AU	M	35	SI	X	BR	3
