ID_VEICULO,ID_ACIDENT,TIPO_VEICU,PLACA,SEXO_CONDU,IDADE_COND,CATEGORIA_,USA_CINTO_,ESTADO_ALC,ESCOLARIDA,cod_acid,tipo_acidente
1,D011700001,MO,ECS5538,M,33,SI,X,BR,5,4,AT
1,D011700002,AU,EBO7555,M,37,SI,X,BR,3,2,SI
2,D011700002,CA,,X,SI,SI,X,BR,8,2,SI
1,D011700003,ON,FMZ5534,M,47,SI,X,BR,2,4,AT
1,D011700004,AU,,M,SI,SI,X,BR,8,4,AT
1,D011700005,MO,IOC4405,M,37,SI,X,BR,5,2,CO
2,D011700005,AU,FLC7370,M,42,SI,X,BR,7,2,CO
1,D011700006,MO,BZZ6679,M,19,IN,X,BR,3,2,QM
2,D011700007,AU,CIG4398,M,17,IN,X,BR,3,2,CO
1,D011700007,MO,EFH8034,M,24,IN,X,BR,5,2,CO
1,D011700008,SI,,X,SI,SI,X,BR,8,4,AT
1,D011700009,MO,EQD0654,M,39,SI,X,BR,5,2,QM
1,D011700010,ON,ECT7879,M,49,SI,X,BR,3,2,CF
2,D011700010,CM,CWH6340,M,36,IN,X,BR,3,2,CF
1,D011700011,AU,CFY3868,M,32,SI,X,BR,5,2,CT
2,D011700011,AU,MIE2661,M,22,SI,X,BR,3,2,CT
3,D011700011,AU,EPJ6472,M,26,SI,X,BR,5,2,CT
1,D011700012,SI,,X,SI,SI,X,BR,8,4,AT
1,D011700013,MO,BPR2834,M,38,SI,X,AA,3,2,CO
2,D011700013,ON,EGK6118,M,56,SI,X,BR,2,2,CO
1,D011700014,MO,DRZ1984,M,20,SI,X,BR,4,2,QM
2,D011700015,AU,DOD1365,M,44,SI,X,BR,8,2,CO
1,D011700015,AU,EBC9207,M,27,SI,X,BR,5,2,CO
1,D011700016,MO,DVX4858,M,33,SI,X,BR,8,2,CO
2,D011700016,AU,GQW6565,M,57,SI,X,BR,8,2,CO
1,D011700017,MO,CFV9034,M,20,SI,X,BR,3,2,CO
2,D011700017,AU,,M,54,SI,X,BR,5,2,CO
1,D011700018,MO,GEU1900,M,48,SI,X,BR,5,2,QM
1,D011700019,MO,DZN6877,M,36,SI,X,BR,3,2,CT
2,D011700019,AU,FAL0366,M,24,SI,X,BR,8,2,CT
1,D011700020,MO,EHC8070,M,41,SI,X,BR,5,2,CL
2,D011700020,AU,FOA0433,M,SI,SI,X,BR,8,2,CL
1,D011700021,MO,FAV9833,M,31,SI,X,BR,6,4,AT
1,D011700022,AU,GBB6174,F,40,SI,X,BR,7,4,AT
1,D011700023,MO,FOZ5455,M,31,SI,X,BR,3,2,CO
2,D011700023,AU,,M,SI,SI,X,BR,8,2,CO
1,D011700024,CM,GEU5170,M,21,SI,X,BR,3,2,CP
1,D011700025,MO,DGY1333,F,37,HA,X,BR,5,2,CT
2,D011700025,AU,BUI3838,M,46,HA,X,BR,8,2,CT
1,D011700026,ON,FCB6753,F,SI,SI,X,BR,8,4,AT
1,D011700027,VA,DTE7408,M,62,HA,X,BR,3,2,CH
1,D011700028,SI,,X,SI,SI,X,BR,8,4,AT
2,D011700029,AU,PWT8623,M,41,SI,X,BR,8,2,CO
1,D011700029,MO,JSV8710,M,38,SI,X,BR,8,2,CO
1,D011700030,AU,BAO5223,M,27,SI,X,BR,5,2,CF
2,D011700030,AU,DAM5153,M,29,SI,X,BR,5,2,CF
1,D011700031,AU,CVV7454,F,SI,SI,X,BR,8,2,CO
2,D011700031,BI,,M,45,NE,X,BR,7,2,CO
1,D011700032,MO,FSU1481,M,33,SI,X,BR,7,2,CO
2,D011700032,AU,CAI3793,X,SI,SI,X,BR,8,2,CO
2,D011700033,AU,BKH2586,M,53,SI,X,BR,3,2,CO
1,D011700033,MO,EQR1719,M,SI,SI,X,BR,8,2,CO
1,D011700034,MO,FJB5939,M,34,SI,X,BR,5,2,CO
2,D011700034,AU,FIA1095,M,47,SI,X,BR,7,2,CO
1,D011700035,AU,EZM6278,M,41,HA,X,BR,5,4,AT
1,D011700036,MO,DRW0925,M,34,SI,X,BR,5,2,CF
2,D011700036,AU,DJM5929,M,30,SI,X,BR,6,2,CF
1,D011700037,MO,EXJ0184,M,27,SI,X,BR,8,2,CO
2,D011700037,AU,,X,SI,SI,X,BR,8,2,CO
3,D011700037,AU,,X,SI,SI,X,BR,8,2,CO
1,D011700038,MO,DRV3630,M,32,SI,X,BR,5,2,CO
2,D011700038,AU,GGB8073,M,27,HA,X,BR,7,2,CO
1,D011700039,SI,,X,SI,SI,X,BR,8,4,AT
1,D011700040,AU,EZA1121,M,39,SI,X,BR,7,4,AT
