id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011400001	001	02	M	18	CD	F	BI	BR	3	          
D011400002	001	01	F	24	PS	F	MO	BR	5	          
D011400003	001	01	F	21	PD	F	CA	BR	5	          
D011400004	001	01	F	57	PS	F	OU	BR	8	          
D011400004	002	01	F	36	PS	F	OU	BR	8	          
D011400004	003	01	F	54	PS	F	OU	BR	3	          
D011400005	001	01	M	33	CD	F	MO	BR	8	          
D011400005	002	01	F	32	PD	F	MO	BR	5	          
D011400006	001	01	F	48	PD	F	MO	BR	5	          
D011400007	001	01	F	32	PD	F	SI	BR	8	          
D011400008	001	02	M	24	PS	F	AU	BR	7	          
D011400008	002	02	M	24	PS	F	AU	BR	5	          
D011400009	001	02	F	23	PS	F	MO	BR	7	          
D011400010	001	02	M	21	CD	F	BI	BR	3	          
D011400011	001	01	M	48	CD	F	MO	BR	3	          
D011400012	001	01	M	24	CD	F	MO	BR	6	          
D011400013	001	01	X	SI	SI	F	AU	BR	8	          
D011400014	001	01	M	24	CD	F	MO	BR	3	          
D011400015	001	01	F	38	PD	F	AU	BR	8	          
D011400017	001	02	F	21	PS	F	MO	BR	8	          
D011400018	001	01	M	45	CD	F	MO	BR	5	          
D011400019	001	01	M	39	PD	F	CA	BR	5	          
D011400020	001	02	M	19	PS	F	MO	BR	3	          
D011400021	001	01	F	66	PD	F	MO	BR	3	          
D011400022	001	02	F	24	CD	F	MO	BR	5	          
D011400023	001	01	M	47	PD	F	OU	BR	3	          
D011400024	001	01	M	49	PD	F	AU	SA	1	          
D011400025	001	02	M	60	CD	F	MO	BR	7	          
D011400026	001	01	M	21	CD	F	AU	BR	5	          
D011400027	001	02	F	26	CD	F	MO	BR	7	          
D011400028	001	01	M	17	PS	F	AU	BR	3	          
D011400028	002	02	F	22	PS	F	AU	BR	5	          
D011400030	001	02	M	41	CD	F	CM	BR	6	          
D011400030	002	02	M	46	PS	F	CM	BR	7	          
D011400031	001	02	M	25	CD	F	MO	BR	5	          
D011400031	002	02	F	25	PD	F	MO	BR	5	          
D011400032	001	01	M	58	PD	F	AU	BR	5	          
D011400033	001	01	M	51	PD	F	SI	SA	8	          
D011400034	001	02	M	38	CD	F	AU	BR	5	          
D011400035	001	01	F	36	PD	F	OU	BR	8	          
D011400035	002	01	F	37	PD	F	OU	BR	8	          
D011400036	001	01	M	22	PD	F	AU	BR	5	          
D011400037	001	01	M	49	PD	F	MO	BR	7	          
D011400038	001	01	M	63	PD	F	MO	BR	8	          
D011400039	001	02	M	31	CD	F	MO	BR	7	          
D011400040	001	01	F	34	PD	F	SI	BR	8	          
D011400041	001	01	M	SI	PD	F	ON	BR	8	          
D011400042	001	02	M	31	CD	F	MO	BR	5	          
D011400043	001	02	M	32	CD	F	MO	BR	7	          
D011400044	001	02	M	24	CD	F	MO	BR	5	          
D011400045	001	01	F	48	PD	F	AU	BR	8	          
D011400046	001	02	M	25	CD	F	BI	BR	2	          
D011400048	001	02	F	61	CD	F	AU	BR	5	          
D011400049	001	02	M	34	CD	F	MO	BR	3	          
D011400050	001	01	F	36	PD	F	SI	BR	2	          
D011400051	001	01	M	22	PD	F	MO	BR	3	          
D011400052	001	01	M	30	CD	F	MO	BR	2	          
D011400053	001	01	M	19	CD	F	MO	BR	3	          
D011400053	002	01	F	23	PS	F	MO	BR	5	          
D011400054	001	02	M	29	CD	F	MO	BR	4	          
D011400055	001	02	M	44	CD	F	MO	BR	3	          
D011400056	001	01	M	24	PD	F	SI	BR	8	          
D011400057	001	01	M	26	CD	F	MO	BR	3	          
D011400058	001	01	F	20	PD	F	OU	BR	3	          
D011400059	001	02	M	61	CD	F	MO	BR	8	          
D011400060	001	02	M	37	CD	F	MO	BR	5	          
D011400060	002	02	M	29	PS	F	MO	BR	5	          
D011400061	001	01	F	32	PD	F	ON	BR	8	          
D011400062	001	02	M	43	CD	F	MO	BR	3	          
D011400063	001	02	M	31	CD	F	MO	BR	5	          
D011400064	001	02	M	32	CD	F	MO	BR	5	          
D011400065	001	01	M	39	PD	F	AU	BR	7	          
D011400066	001	01	M	11	PD	F	SI	BR	3	          
D011400067	001	02	M	36	CD	F	MO	BR	6	          
D011400068	001	02	M	23	CD	F	MO	BR	3	          
D011400069	001	01	M	21	CD	F	MO	BR	3	          
D011400070	001	01	M	34	CD	F	AU	BR	5	          
D011400071	001	01	M	32	CD	F	MO	BR	3	          
D011400071	002	02	M	58	CD	F	MO	BR	3	          
D011400072	001	01	M	44	CD	F	AU	BR	4	          
D011400072	002	02	M	21	CD	F	AU	BR	3	          
D011400073	001	02	M	35	PS	F	MO	BR	3	          
D011400074	001	02	M	39	CD	F	MO	BR	5	          
D011400075	001	02	M	42	CD	F	MO	BR	3	          
D011400076	001	01	F	63	PD	F	MO	BR	8	          
D011400077	001	01	M	83	PD	F	AU	BR	8	          
D011400078	001	01	M	29	PD	F	OU	BR	5	          
D011400079	001	01	F	21	PD	F	MO	BR	5	          
D011400080	001	02	M	26	CD	F	MO	BR	5	          
D011400081	001	01	M	23	CD	F	AU	BR	7	          
D011400081	002	01	F	24	PS	F	AU	BR	6	          
D011400082	001	01	M	22	PD	F	AU	BR	6	          
D011400084	001	02	M	31	CD	F	MO	BR	7	          
D011400085	001	02	M	33	CD	F	MO	BR	2	          
D011400086	001	02	M	28	CD	F	MO	BR	7	          
D011400087	001	01	F	33	PD	F	AU	BR	5	          
D011400088	001	02	M	40	CD	F	AU	BR	5	          
D011400089	001	01	M	20	PD	F	AU	BR	5	          
D011400090	001	01	M	25	PD	F	SI	BR	8	          
D011400091	001	02	X	SI	SI	F	AU	BR	8	          
D011400092	001	02	M	28	CD	F	MO	BR	8	          
D011400093	001	01	F	32	PS	F	OU	BR	5	          
D011400094	001	02	M	36	CD	F	MO	BR	7	          
D011400095	001	02	M	33	CD	F	MO	BR	6	          
D011400096	001	01	F	32	PD	F	OU	BR	5	          
D011400097	001	03	M	35	CD	F	AU	BR	5	          
D011400098	001	02	M	32	CD	F	MO	BR	5	          
D011400099	001	01	M	46	CD	F	CM	SA	8	          
D011400100	001	01	F	22	CD	F	AU	SA	6	          
D011400100	002	01	F	52	PD	F	AU	BR	7	          
D011400101	001	02	M	43	CD	F	BI	BR	3	          
D011400102	001	02	M	30	CD	F	MO	BR	3	          
D011400103	001	01	F	32	PS	F	AU	BR	7	          
D011400104	001	02	M	32	CD	F	MO	BR	5	          
D011400105	001	01	M	29	CD	F	MO	BR	5	          
D011400106	001	01	F	42	PD	F	CM	BR	3	          
D011400107	001	02	M	70	CD	F	AU	BR	5	          
D011400108	001	01	M	28	CD	F	MO	BR	5	          
D011400109	001	02	M	21	CD	F	MO	BR	3	          
D011400110	001	01	M	25	CD	F	MO	BR	3	          
D011400111	001	02	M	31	CD	F	MO	BR	3	          
D011400112	001	01	F	41	PD	F	CM	BR	8	          
D011400113	001	02	M	38	CD	F	MO	BR	7	          
D011400114	001	01	F	69	PD	F	AU	BR	3	          
D011400115	001	02	M	23	CD	F	MO	BR	4	          
D011400115	002	02	M	29	PS	F	MO	BR	3	          
D011400116	001	02	M	25	CD	F	AU	BR	7	          
D011400117	001	02	M	24	CD	F	MO	BR	5	          
D011400118	001	01	F	91	PD	F	AU	BR	8	          
D011400119	001	01	M	23	CD	F	CM	BR	3	          
D011400119	002	01	M	20	PD	F	CM	BR	4	          
D011400120	001	01	M	33	PD	F	SI	BR	5	          
D011400121	001	02	M	24	CD	F	AU	BR	7	          
D011400121	002	02	F	26	PS	F	AU	BR	7	          
D011400122	001	02	F	30	CD	F	AU	BR	7	          
D011400123	001	02	M	27	CD	F	MO	BR	5	          
D011400124	001	01	F	90	PS	F	AU	BR	3	          
D011400124	002	02	M	41	CD	F	AU	BR	3	          
D011400125	001	02	F	33	CD	F	AU	BR	5	          
D011400126	001	01	M	33	PS	F	CM	BR	5	          
D011400127	001	02	F	25	PS	F	AU	BR	8	          
D011400128	001	02	M	31	CD	F	MO	BR	4	          
D011400129	001	02	M	32	CD	F	MO	BR	3	          
D011400130	001	01	M	29	PD	F	CA	BR	5	          
D011400131	001	02	M	23	CD	F	MO	BR	5	          
D011400132	001	02	M	26	CD	F	MO	BR	3	          
D011400133	001	01	M	44	CD	F	MO	BR	5	          
D011400134	001	02	M	24	CD	F	MO	BR	5	          
D011400135	001	01	M	39	CD	F	MO	BR	5	          
D011400136	001	01	M	49	CD	F	MO	BR	5	          
D011400137	001	01	M	27	CD	F	MO	BR	5	          
D011400137	002	01	F	30	PD	F	MO	BR	8	          
D011400138	001	01	M	23	CD	F	AU	BR	3	          
D011400139	001	01	M	26	CD	F	MO	BR	3	          
D011400140	001	01	M	20	CD	F	MO	BR	6	          
D011400141	001	01	M	33	PD	F	ON	BR	3	          
D011400142	001	01	F	50	CD	F	AU	BR	5	          
D011400142	002	02	F	50	PD	F	SI	BR	5	          
D011400143	001	01	M	28	PD	F	AU	BR	8	          
D011400144	001	01	M	32	CD	F	MO	BR	4	          
D011400144	002	01	F	26	PS	F	MO	BR	3	          
D011400145	001	01	M	51	PD	F	AU	BR	8	          
D011400146	001	02	M	36	CD	F	MO	BR	5	          
D011400147	001	03	M	58	CD	F	AU	BR	3	          
D011400148	001	01	M	33	CD	F	MO	BR	5	          
D011400149	001	02	M	39	CD	F	MO	BR	3	          
D011400150	001	01	M	29	CD	F	MO	BR	5	          
D011400151	001	01	M	41	CD	F	MO	BR	5	          
D011400152	001	01	M	28	CD	F	AU	BR	3	          
D011400153	001	01	F	22	PD	F	CM	BR	8	          
D011400153	002	01	F	SI	PD	F	CM	BR	1	          
D011400154	001	02	M	31	CD	F	MO	BR	3	          
D011400155	001	01	M	66	SI	F	CM	BR	4	          
D011400156	001	02	M	30	CD	F	MO	BR	2	          
D011400157	001	01	F	22	CD	F	AU	BR	3	          
D011400158	001	01	F	34	PS	F	AU	BR	5	          
D011400159	001	01	M	18	CD	F	AU	BR	8	          
D011400160	001	01	M	28	PD	F	AU	BR	8	          
D011400161	001	01	M	02	PD	F	AU	BR	8	          
D011400162	001	02	F	29	PS	F	MO	BR	7	          
D011400163	001	02	M	22	CD	F	MO	BR	8	          
D011400164	001	02	M	36	CD	F	MO	BR	5	          
D011400165	001	02	F	39	PS	F	CM	BR	8	          
D011400166	001	01	M	35	CD	F	MO	BR	3	          
D011400167	001	01	M	59	PD	F	AU	BR	3	          
D011400168	001	01	M	72	PD	F	MO	BR	3	          
D011400169	001	01	F	29	PD	F	CM	BR	7	          
D011400170	001	01	M	26	PD	F	MO	BR	5	          
D011400171	001	01	F	41	PD	F	AU	BR	8	          
D011400172	001	01	M	45	PD	F	OU	BR	8	          
D011400173	001	01	M	SI	PD	F	AU	BR	8	          
D011400174	001	01	M	59	PD	F	MO	BR	8	          
D011400175	001	02	M	41	PS	F	OU	BR	5	          
D011400176	001	01	M	58	PD	F	AU	BR	3	          
D011400177	001	02	M	43	CD	F	MO	BR	6	          
D011400178	001	01	M	26	CD	F	BI	BR	7	          
D011400179	001	01	M	30	CD	F	MO	BR	5	          
D011400180	001	01	M	33	CD	F	BI	BR	3	          
D011400181	001	01	M	27	CD	F	MO	BR	6	          
D011400182	001	01	M	23	CD	F	AU	BR	3	          
D011400183	001	01	F	23	CD	F	AU	BR	5	          
D011400184	001	01	F	30	PS	F	OU	BR	7	          
D011400185	001	01	M	44	PD	F	OU	BR	3	          
D011400186	001	01	M	20	PD	F	OU	BR	7	          
D011400187	001	01	F	62	PS	F	AU	BR	7	          
D011400188	001	01	M	74	PD	F	MO	BR	8	          
D011400189	001	01	M	30	CD	F	MO	BR	5	          
D011400190	001	01	F	55	PD	F	OU	BR	7	          
D011400191	001	01	M	61	PD	F	OU	BR	3	          
D011400192	001	01	F	22	CD	F	MO	BR	5	          
D011400193	001	01	F	61	PD	F	OU	BR	8	          
D011400194	001	01	M	25	PD	F	AU	BR	6	          
D011400195	001	02	M	22	CD	F	MO	BR	3	          
D011400196	001	01	F	63	PD	F	OU	BR	3	          
D011400197	001	01	F	19	PD	F	AU	BR	3	          
D011400198	001	01	M	47	CD	F	BI	BR	7	          
D011400199	001	01	M	32	CD	F	MO	BR	3	          
D011400199	002	01	F	SI	PS	F	MO	BR	8	          
D011400200	001	01	M	31	CD	F	MO	BR	8	          
D011400201	001	01	M	22	CD	F	AU	BR	6	          
D011400202	001	01	M	35	CD	F	MO	BR	6	          
D011400203	001	01	M	35	CD	F	MO	BR	5	          
