id_vitima	id_acidente	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
1	D011700001	1	F	19	PD	F	MO	BR	4	NULL
1	D011700002	1	M	37	CD	F	AU	BR	3	NULL
2	D011700002	1	F	43	PS	F	AU	BR	5	NULL
3	D011700002	1	F	7	PS	F	AU	BR	2	NULL
1	D011700003	1	F	78	PD	M	ON	BR	5	11/01/2017 00:00
1	D011700004	1	F	26	PD	F	AU	BR	7	NULL
1	D011700005	1	M	37	CD	F	MO	BR	5	NULL
1	D011700006	1	M	19	CD	F	MO	BR	3	NULL
1	D011700007	1	M	24	CD	F	MO	BR	5	NULL
1	D011700008	1	F	72	PD	M	SI	BR	3	15/01/2017 00:00
1	D011700009	1	M	39	CD	F	MO	BR	5	NULL
1	D011700010	2	M	36	CD	F	CM	BR	3	NULL
1	D011700011	3	F	45	PS	F	AU	BR	3	NULL
1	D011700012	1	M	32	PD	F	SI	BR	3	NULL
1	D011700013	1	F	30	PS	F	MO	BR	8	NULL
1	D011700014	1	M	20	CD	F	MO	BR	4	NULL
1	D011700015	2	M	44	CD	F	AU	BR	8	NULL
1	D011700016	1	M	28	PS	F	MO	BR	8	NULL
1	D011700017	1	M	20	CD	F	MO	BR	3	NULL
1	D011700018	1	M	48	CD	F	MO	BR	5	NULL
1	D011700019	1	M	36	CD	M	MO	BR	3	13/01/2017 00:00
1	D011700020	1	M	41	CD	F	MO	BR	5	NULL
1	D011700021	1	F	54	PD	F	MO	BR	7	NULL
1	D011700022	1	F	44	PD	F	AU	BR	3	NULL
1	D011700023	1	M	31	CD	F	MO	BR	3	NULL
1	D011700024	1	M	21	CD	F	CM	BR	3	NULL
1	D011700025	1	F	37	CD	F	MO	BR	5	NULL
1	D011700026	1	M	32	PD	F	ON	BR	3	NULL
1	D011700027	1	F	4	PS	F	VA	BR	1	NULL
2	D011700027	1	F		PS	F	VA	BR	8	NULL
1	D011700028	1	F	29	PD	F	SI	BR	5	NULL
1	D011700029	1	M	38	CD	F	MO	BR	8	NULL
1	D011700030	1	M	27	CD	F	AU	BR	5	NULL
1	D011700031	2	M	45	CD	F	BI	BR	7	NULL
1	D011700032	1	M	33	CD	F	MO	BR	7	NULL
1	D011700033	1	M		CD	F	MO	BR	8	NULL
1	D011700034	1	F	38	PS	F	MO	BR	5	NULL
2	D011700034	1	M	34	CD	F	MO	BR	5	NULL
1	D011700035	1	M	53	PD	M	AU	BR	3	22/01/2017 00:00
1	D011700036	1	M	34	CD	F	MO	BR	5	NULL
1	D011700037	1	M	27	CD	F	MO	BR	8	NULL
1	D011700038	1	M	32	CD	F	MO	BR	3	NULL
1	D011700039	1	M	57	PD	M	SI	BR	3	04/01/2017 00:00
1	D011700040	1	M	79	PD	F	AU	BR	3	NULL
1	D011700041	1	M	32	PD	F	AU	BR	3	NULL
1	D011700042	1	M	22	PS	F	MO	BR	8	NULL
2	D011700042	1	M	21	CD	F	MO	BR	5	NULL
1	D011700043	2	M		CD	F	MO	BR	3	NULL
1	D011700044	1	M	31	CD	F	MO	BR	5	NULL
2	D011700044	1	M	22	PS	F	MO	BR	4	NULL
1	D011700045	1	M	28	PD	F	SI	BR	5	NULL
1	D011700046	1	M	32	CD	F	AU	BR	5	NULL
1	D011700047	1	M	65	PD	F	ON	BR	8	NULL
1	D011700048	1	F	29	CD	F	AU	BR	5	NULL
1	D011700049	1	M	46	CD	F	MO	BR	8	NULL
1	D011700050	1	M	21	CD	F	MO	BR	5	NULL
1	D011700051	1	M	26	CD	F	MO	BR	5	NULL
1	D011700052	1	M	25	CD	F	MO	BR	3	NULL
1	D011700053	1	M	25	CD	M	MO	BR	5	08/01/2017 00:00
1	D011700054	1	F	54	PS	F	AU	BR	8	NULL
1	D011700055	1	F	21	PS	F	MO	BR	8	NULL
1	D011700056	1	F	64	PD	M	ON	BR	3	14/01/2017 00:00
1	D011700057	1	M	38	CD	F	MO	BR	5	NULL
1	D011700058	1	F	58	PS	F	ON	BR	3	NULL
1	D011700059	1	M	19	CD	F	AU	BR	3	NULL
2	D011700059	1	M	19	PS	F	AU	BR	5	NULL
3	D011700059	1	M	19	CD	F	AU	BR	5	NULL
1	D011700060	1	M	13	PD	F	AU	BR	3	NULL
2	D011700060	1	F	42	PD	F	AU	BR	5	NULL
1	D011700061	1	M	17	PD	M	ON	BR	3	29/01/2017 00:00
1	D011700062	1	F	29	CD	F	MO	BR	5	NULL
1	D011700063	2	F	31	PS	F	AU	BR	8	NULL
1	D011700064	1	M	34	CD	F	MO	BR	7	NULL
1	D011700065	1	F	56	PD	F	AU	BR	3	NULL
1	D011700066	1	M	35	CD	F	MO	BR	7	NULL
1	D011700067	1	M	30	CD	F	MO	BR	3	NULL
1	D011700068	1	M	16	CD	F	AU	BR	4	NULL
1	D011700069	1	M	41	CD	M	BI	BR	8	06/01/2017 00:00
1	D011700070	1	M	25	CD	F	MO	BR	3	NULL
1	D011700071	1	F		PD	F	ON	BR	8	NULL
1	D011700072	1	M	24	CD	F	AU	BR	5	NULL
1	D011700073	1	F	34	PS	F	AU	BR	4	NULL
2	D011700073	1	F	16	PS	F	AU	BR	3	NULL
3	D011700073	1	M	30	CD	F	AU	BR	2	NULL
1	D011700074	1	F	18	PD	F	MO	BR	4	NULL
2	D011700074	1	M		CD	F	MO	BR	8	NULL
1	D011700075	1	F	86	CD	F	AU	BR	3	NULL
1	D011700076	2	M	37	CD	F	AU	BR	5	NULL
1	D011700077	1	F	26	PS	F	AU	BR	8	NULL
1	D011700078	1	M	62	PD	F	AU	BR	3	NULL
1	D011700079	1	F	22	PS	F	MO	BR	3	NULL
