x,y,id_acident,cadloga,cadlogb,alt_num,referencia,data,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,veiculos,vitimas,princ_a,princ_b,tipo_acide,mi_prinx
-46.666305,-23.476281,D011600179,4015,,300,,2016/01/04 00:00:00.000,1500,2,D,,38,44,,,11000000000000000,100,4015,,CO,243072
-46.670442,-23.474877,D011600313,3771,,4000,,2016/01/19 00:00:00.000,700,2,D,,28,971,,,1000000000000000,100,3771,,QM,243073
-46.668499,-23.473587,D011600734,7368,,100,,2016/01/11 00:00:00.000,900,2,D,,72,386,,,1000000000000000,100,7368,,QM,243074
-46.667661,-23.474465,D011601083,6450,,3994,,2016/01/30 00:00:00.000,1540,4,D,,38,862,,,100000000000000,100,6450,,AT,243075
-46.669579,-23.47421,D011601173,9420,,5082,,2016/01/21 00:00:00.000,1557,2,D,,28,364,,,200000000000000,100,9420,,CO,243076
-46.670536,-23.473708,D011601224,15425,,45,,2016/01/01 00:00:00.000,213,2,D,,74,25,,,11000000000000000,1,15425,,CO,243077
-46.667103,-23.473443,D021600078,15426,,36,,2016/02/15 00:00:00.000,1710,4,D,,38,1304,,,1000000000000000,100,15426,,AT,243078
-46.665256,-23.475135,D021600457,9078,,4413,,2016/02/26 00:00:00.000,1025,2,D,,38,899,,,11000000000000000,100,9078,,CO,243079
-46.669826,-23.473731,D021600717,3771,9420,,,2016/02/20 00:00:00.000,200,2,D,,28,1717,,,10100000000000000,200,3771,15425,CT,243080
-46.668394,-23.474936,D021600853,6450,,3871,,2016/02/23 00:00:00.000,1235,4,D,,38,844,B,,10000000000000000,100,6450,,AT,243081
-46.671492,-23.475938,D021601065,3771,,3907,,2016/02/24 00:00:00.000,2340,2,D,,28,1878,,,200000000000000,100,3771,,CL,243082
-46.667054,-23.47297,D021601127,15426,,100,,2016/02/01 00:00:00.000,1745,2,D,,38,519,,,11000000000000000,200,15426,,CO,243083
-46.670901,-23.474521,D031600160,9420,,4944,,2016/03/08 00:00:00.000,800,4,D,,28,960,,,10000000000000000,100,9420,,AT,243084
-46.665544,-23.47395,D031600626,9078,,4494,,2016/03/15 00:00:00.000,1602,2,D,,38,1994,,,100000000100000,100,9078,,CO,243085
-46.669826,-23.473731,D031600697,3771,9420,1,,2016/03/10 00:00:00.000,429,2,D,,28,900050,,,100000,100,3771,15425,CH,243086
-46.669584,-23.476166,D031600964,6450,,3600,,2016/03/20 00:00:00.000,2030,2,D,,28,2739,,,1100000000000000,100,6450,,CO,243087
-46.670457,-23.473881,D031601099,15425,,25,,2016/03/30 00:00:00.000,750,2,D,,72,2386,,,21100000000100000,400,15425,,CO,243088
-46.667661,-23.47344,D031601173,9420,,5255,,2016/03/19 00:00:00.000,926,2,D,,28,2093,,,11000000000000000,100,9420,,CO,243089
-46.67029,-23.476068,D041601501,6450,,3641,,2016/04/13 00:00:00.000,840,2,D,,28,967,,,11000000000000000,100,6450,,CO,243090
-46.667909,-23.474478,D051600351,11311,,16,,2016/05/06 00:00:00.000,1605,4,D,,38,3429,,,10000000000000000,100,11311,,AT,243091
-46.669458,-23.474543,D051600671,9420,,5127,,2016/05/25 00:00:00.000,1057,4,D,,28,2042,,,10,100,9420,,AT,243092
-46.670293,-23.474195,D061600270,9420,,5015,,2016/06/07 00:00:00.000,1644,4,D,,28,5040,,,1000000000000,100,9420,,AT,243093
-46.664702,-23.475547,D061600437,9078,,4279,,2016/06/29 00:00:00.000,2213,2,D,,38,4887,,,11000000000000000,100,9078,,CO,243094
-46.669597,-23.474209,D061600584,9420,,5080,,2016/06/12 00:00:00.000,1000,2,D,,28,5568,,,30000000000000000,100,9420,,CT,243095
-46.670213,-23.473327,D061601181,15425,,,NC,2016/06/22 00:00:00.000,2215,2,D,,74,2640,,,1000000000000000,100,15425,,QM,243096
-46.670924,-23.473536,D081600810,15425,,151,,2016/08/22 00:00:00.000,1110,4,D,,72,6224,,,10000000000000000,100,15425,,AT,323076
-46.666328,-23.474386,D091600867,9078,,4494,,2016/09/07 00:00:00.000,1950,2,D,,38,6698,,,100000000000000,100,9078,,QF,324486
-46.667095,-23.473907,D101600866,9420,15426,,,2016/10/13 00:00:00.000,1507,4,D,,38,4181,,,100000,100,6450,27923,AT,325648
-46.667106,-23.473907,D101600916,15426,6450,,,2016/10/25 00:00:00.000,2148,2,D,,38,8090,,,10100000000000000,200,6450,27923,CL,325698
-46.669255,-23.473328,D111600680,13425,,68,,2016/11/06 00:00:00.000,1240,2,D,,72,8477,,,100000000000000,200,13425,,CH,326697
-46.65947,-23.470607,D011600001,357,,109,,2016/01/17 00:00:00.000,1315,2,D,,38,506,,,11000000000000000,200,357,,CT,312208
-46.529397,-23.532035,D011600003,7645,,3000,,2016/01/07 00:00:00.000,1830,2,D,,21,680,C,,1000000000000000,100,7645,,QM,312209
-46.674881,-23.485831,D011600004,6450,14835,,,2016/01/17 00:00:00.000,500,2,D,,40,495,,,20000000000000000,100,6450,14835,CF,312210
-46.715297,-23.759156,D011600005,15507,,4736,,2016/01/31 00:00:00.000,1821,2,D,,85,1609,C,,1100000000000000,100,15507,,CT,312211
-46.754643,-23.699587,D011600006,17195,,3000,,2016/01/09 00:00:00.000,1919,2,D,,100,287,,,10000000000000000,100,17195,,CH,312212
-46.676791,-23.55689,D011600007,18813,921,,,2016/01/28 00:00:00.000,2133,2,D,,23,852,,,10001000000000000,100,921,18813,CO,312213
-46.534891,-23.551609,D011600008,12284,17331,,,2016/01/14 00:00:00.000,840,4,D,,31,315,B,,10000000000000000,100,12284,17331,AT,312214
-46.594219,-23.544913,D011600009,543,,3300,,2016/01/13 00:00:00.000,1021,2,D,,8,303,,,11000000000000000,100,543,,CO,312215
-46.578251,-23.491561,D011600010,4077,14667,,,2016/01/08 00:00:00.000,1930,4,D,,90,275,,,10000000000000000,100,4077,14667,AT,312216
-46.772841,-23.659901,D011600011,9529,,4660,,2016/01/18 00:00:00.000,1300,2,D,,37,427,,,11000000000000000,200,9529,,CL,312217
-46.691859,-23.47137,D011600012,15485,,1600,,2016/01/21 00:00:00.000,1700,2,D,,45,173,,,100000000000000,100,15485,,OU,312218
-46.674031,-23.563171,D011600013,2484,,,LEONARDO DE FAS,2016/01/18 00:00:00.000,915,2,D,,102,97,,,11000000000000000,100,2484,,CL,312219
-46.446952,-23.626397,D011600014,75483,,570,,2016/01/31 00:00:00.000,1159,2,D,,55,334,,,10001000000000000,1,75483,,CO,312220
-46.543404,-23.600614,D011600015,5425,,2663,,2016/01/17 00:00:00.000,1444,2,D,,42,217,C,,11000000000000000,100,5425,,CO,312221
-46.723612,-23.586223,D011600016,7500,,5000,,2016/01/13 00:00:00.000,2330,2,D,,34,106,,,11000000000000000,100,7500,,CO,312222
-46.605396,-23.56455,D011600017,19958,,1297,,2016/01/21 00:00:00.000,2210,2,D,,8,1480,,,11000000000000000,100,19958,,CO,312223
-46.682378,-23.556607,D011600018,8714,33683,,,2016/01/07 00:00:00.000,2045,2,D,,14,175,,,20000000000100000,200,2400,8714,CP,312224
-46.581946,-23.564305,D011600019,12572,14427,,,2016/01/20 00:00:00.000,815,2,D,,57,90,,,20000000000000000,100,12572,14427,CO,312225
-46.672836,-23.642176,D011600020,32062,,,,2016/01/15 00:00:00.000,405,2,D,,11,386,,,10000000000000000,100,19931,,CH,312226
-46.596932,-23.545905,D011600021,10488,,1000,,2016/01/11 00:00:00.000,905,2,D,,8,311,,,11000000000000000,100,10488,,CT,312227
-46.650021,-23.515408,D011600022,27187,,2022,,2016/01/10 00:00:00.000,2130,4,D,,13,289,,,100000,100,27187,,AT,312228
-46.689047,-23.712436,D011600023,7653,12017,,,2016/01/08 00:00:00.000,1324,2,D,,48,68,,,1100000000000000,100,7653,12017,CO,312229
-46.602033,-23.622565,D011600024,2223,,50,,2016/01/27 00:00:00.000,1949,2,D,,26,559,,,11000000000000000,100,2223,,CF,312230
-46.513782,-23.540628,D011600025,44742,,1556,,2016/01/17 00:00:00.000,2122,2,D,,21,516,,,10000000000000000,200,44742,,CH,312231
-46.677284,-23.551148,D011600026,2271,,1259,,2016/01/20 00:00:00.000,1439,2,D,,23,260,,,11000000000000000,100,2271,,SI,312232
-46.698324,-23.488802,D011600027,36284,,1273,,2016/01/16 00:00:00.000,25,2,D,,28,464,,,10000000000100000,200,36284,,CO,312233
-46.748639,-23.534458,D011600028,3376,,,,2016/01/13 00:00:00.000,1100,2,D,,51,186,,,10000000100000,100,13014,,CO,312234
-46.589641,-23.441725,D011600029,16305,,3000,,2016/01/29 00:00:00.000,1300,4,D,,73,1049,,,10,100,16305,,AT,312235
-46.443817,-23.510822,D011600030,34616,,1891,,2016/01/28 00:00:00.000,1600,2,D,,63,1408,,,11000000000000000,100,34616,,CO,312236
-46.623376,-23.506034,D011600031,2455,698,,,2016/01/08 00:00:00.000,836,2,D,,13,191,,,2000000000000000,100,2455,6856,SI,312237
-46.660271,-23.556791,D011600032,8562,,403,,2016/01/07 00:00:00.000,1537,4,D,,78,5331,,,10000000000000000,100,8562,,AT,312238
-46.757569,-23.586064,D011600033,16878,,,"PRATAPOLIS,0",2016/01/16 00:00:00.000,1700,2,D,,51,443,,,30000000000000000,200,16878,,CO,312239
-46.577586,-23.534647,D011600034,4736,8717,,,2016/01/29 00:00:00.000,1510,4,D,,52,195,,,100000000000000,100,4736,8717,AT,312240
-46.551648,-23.562321,D011600035,6239,,831,,2016/01/21 00:00:00.000,810,2,D,,58,138,,,101000000000000,100,6239,,CO,312241
-46.463334,-23.598223,D011600036,9044,24421,,,2016/01/28 00:00:00.000,730,2,D,,49,1000,,,11000000000000000,100,9044,24421,CO,312242
-46.783242,-23.665969,D011600037,9529,,6000,,2016/01/27 00:00:00.000,1605,2,D,,47,916,C,,11000000000000000,100,9529,,CO,312243
-46.627117,-23.501753,D011600038,17622,,246,,2016/01/26 00:00:00.000,1300,4,D,,13,1200,,,10000000000000000,100,17622,,AT,312244
-46.435539,-23.509488,D011600039,19824,,425,,2016/01/17 00:00:00.000,2148,2,D,,22,578,,,1000000000000000,100,19824,,QM,312245
-46.605835,-23.477721,D011600040,13767,,300,,2016/01/03 00:00:00.000,2100,2,D,,39,531,,,1000000000000000,100,13767,,QM,312246
-46.765905,-23.642459,D011600041,34682,,1700,,2016/01/30 00:00:00.000,2030,2,D,,37,824,,,10000000000000000,100,34682,,CH,312247
-46.525741,-23.55124,D011600042,2440,,300,,2016/01/01 00:00:00.000,200,2,D,,31,455,,,11000000000000000,100,2440,,CT,312248
-46.68821,-23.503124,D011600043,3771,,215,,2016/01/29 00:00:00.000,800,4,D,,28,384,,,1000000000000000,100,3771,,AT,312249
-46.458753,-23.539951,D011600044,22555,,1300,,2016/01/23 00:00:00.000,1800,2,D,,68,786,,,20000000000000000,400,22555,,CO,312250
-46.443447,-23.513631,D011600045,24179,9806,,,2016/01/22 00:00:00.000,1430,2,D,,32,184,,,11000000000000000,100,9806,24179,CV,312251
-46.689117,-23.478371,D011600046,14934,,262,,2016/01/13 00:00:00.000,950,2,D,,28,922,B,,11000000000000000,100,14934,,CT,312252
-46.64898,-23.564027,D011600047,10548,,198,,2016/01/18 00:00:00.000,2122,2,D,,5,500,,,11000000000000000,100,10548,,CO,312253
-46.539845,-23.510102,D011600048,4128,8890,,,2016/01/25 00:00:00.000,2243,2,D,,10,821,,,1000000000000010,100,4128,8890,CL,312254
-46.743614,-23.40486,D011600049,7153,,898,,2016/01/23 00:00:00.000,530,2,D,,46,491,,,1100000000000000,100,7153,,CF,312255
-46.575548,-23.373853,D011600050,18151,,22000,,2016/01/30 00:00:00.000,1400,2,D,,20,1094,,,10100000000000000,100,18151,,CL,312256
-46.464476,-23.554178,D011600051,6927,,290,,2016/01/10 00:00:00.000,330,2,D,,53,203,,,20000000000000000,200,6927,,CL,312257
-46.510859,-23.572008,D011600052,9134,,1770,,2016/01/22 00:00:00.000,910,2,D,,41,380,,,11000000000000000,100,9134,,CO,312258
-46.566504,-23.438071,D011600053,98339,,,Px USHIKICHI KA,2016/01/26 00:00:00.000,1542,4,D,,73,1997,,,10000000000000000,100,98339,,AT,312259
-46.687647,-23.544042,D011600054,3876,8729,,,2016/01/20 00:00:00.000,2249,2,D,,23,359,,,20000000000000000,100,3876,8729,CO,312260
-46.72951,-23.664159,D011600055,98361,39764,,,2016/01/10 00:00:00.000,300,2,D,,92,203,,,10000000000000000,100,98361,39764,CH,312261
-46.558085,-23.580958,D011600056,19708,,1932,,2016/01/16 00:00:00.000,1735,2,D,,42,295,,,11000000000000000,200,19708,,CO,312262
-46.502671,-23.553914,D011600057,65558,63243,,,2016/01/10 00:00:00.000,1342,4,D,,66,1125,,,10000000000000000,100,63243,65558,AT,312263
-46.682076,-23.618872,D011600058,31919,999,,,2016/01/06 00:00:00.000,5,2,D,,96,4827,,,11000000000000000,100,999,31919,CO,312264
-46.755717,-23.658184,D011600059,75170,,336,,2016/01/25 00:00:00.000,2240,2,D,,92,1444,,,2000000000000000,100,75170,,CO,312265
-46.68259,-23.47868,D011600060,9420,,3500,,2016/01/09 00:00:00.000,2230,2,D,,28,260,,,20000000000000000,100,9420,,CO,312266
-46.553221,-23.589412,D011600061,15034,,1568,,2016/01/29 00:00:00.000,1159,4,D,,57,361,B,,10000000000000000,100,15034,,AT,312267
-46.749795,-23.53378,D011600062,3376,,500,,2016/01/22 00:00:00.000,1230,2,D,,93,347,,,1010000000000000,100,13014,,CL,312268
-46.611041,-23.59822,D011600063,1785,,220,,2016/01/14 00:00:00.000,1511,2,D,,17,126,,,10000000000100000,100,1785,,CO,312269
-46.394701,-23.509972,D011600064,18940,,1501,,2016/01/16 00:00:00.000,2030,4,D,,50,618,,,10000000000000000,100,18940,,AT,312270
-46.754638,-23.445524,D011600065,35449,,15000,,2016/01/17 00:00:00.000,1823,2,D,,33,165,,,10000000100000000,100,35449,,CT,312271
-46.610532,-23.518337,D011600066,6099,6253,,,2016/01/12 00:00:00.000,832,2,D,,9,185,,,11000000000000000,100,6099,6253,CO,312272
-46.542113,-23.589915,D011600067,19708,,3883,,2016/01/24 00:00:00.000,2300,2,D,,42,467,,,21000000000000000,100,19708,,SI,312273
-46.561832,-23.541453,D011600068,14178,,443,,2016/01/18 00:00:00.000,1705,4,D,,30,1223,,,100000,100,14178,,AT,312274
-46.62284,-23.595831,D011600069,21204,,132,,2016/01/05 00:00:00.000,1613,2,D,,16,163,,,11000000000000000,100,21204,,CL,312275
-46.786844,-23.671499,D011600070,9529,44488,,,2016/01/05 00:00:00.000,920,2,D,,47,132,,,11000000000000000,100,44488,9529,CO,312276
-46.639007,-23.547962,D011600071,14804,16761,,,2016/01/18 00:00:00.000,2020,2,D,,3,498,,,11000000000000000,100,14804,16761,CT,312277
-46.773294,-23.671094,D011600072,17772,,600,,2016/01/08 00:00:00.000,730,2,D,,47,236,,,1000000000000000,100,17772,,QM,312278
-46.796275,-23.44246,D011600073,27915,,1200,,2016/01/05 00:00:00.000,2300,4,D,,46,75,,,10000000000000000,100,27915,,AT,312279
-46.485703,-23.579705,D011600074,60675,,2952,,2016/01/11 00:00:00.000,150,2,D,,53,210,,,10000000000000000,200,60675,,CH,312280
-46.594875,-23.609385,D011600075,18173,,170,,2016/01/16 00:00:00.000,500,2,D,,95,311,,,11000000000000000,200,18173,,CF,312281
-46.593053,-23.636441,D011600076,6517,,100,,2016/01/07 00:00:00.000,1030,2,D,,95,56,,,11000000000000000,100,6517,,CO,312282
-46.764485,-23.657808,D011600077,9529,,3675,,2016/01/12 00:00:00.000,2000,2,D,,37,340,,,12000000000000000,300,9529,,CT,312283
-46.735849,-23.546753,D011600078,9836,,1700,,2016/01/08 00:00:00.000,2010,2,D,,93,3314,,,1000000000000000,100,9836,,QM,312284
-46.573847,-23.438764,D011600079,50425,,,USHIKICHI KAMIY,2016/01/04 00:00:00.000,1930,2,D,,73,1778,,,1000000000000000,100,50425,,QM,312285
-46.66386,-23.45892,D011600080,33642,,100,,2016/01/31 00:00:00.000,1600,2,D,,72,2551,,,1000000000000000,100,33642,,QM,312286
-46.417003,-23.56797,D011600081,99021,,500,,2016/01/26 00:00:00.000,1556,4,D,,53,735,,,10000000000000000,100,99021,,AT,312287
-46.594012,-23.523818,D011600082,8478,1930,,,2016/01/28 00:00:00.000,2000,2,D,,81,309,,,10000000000100000,200,1930,8478,CO,312288
-46.671032,-23.482037,D011600083,20688,,213,,2016/01/15 00:00:00.000,1800,2,D,,40,453,,,1001000000000000,200,20688,,CO,312289
-46.699513,-23.501305,D011600084,18334,,100,,2016/01/31 00:00:00.000,1330,4,D,,28,1010,,,10000000000000000,100,18334,,AT,312290
