X,Y,id_acidente,cadloga,logradouro_a,cadlogb,logradouro_b,alt_num,referencia,data,dia__semana,dia_semana,mes_acidente,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,feridos,mortos,dec,det_atz,get_atz,distrito,distrito_atz,pref_reg,folha,princ_a,princ_b,placa1,tipo_placa1,placa2,tipo_plac2,placa3,tipo_plac3,tipo_acidente,mi_prinx,LAT,LONG,MAPINFO_ID
-46.658305,-23.521939,D011700001,61,AV DR  ABRAAO RIBEIRO,,,100,,2017/01/16 00:00:00,2,SEGUNDA-FEIRA,JANEIRO,1899/12/30 14:29:00,4,D,,23,230,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NO2,NO2,NO,69,69,SE,,61,,,,,,,,AT,,-23.521939,-46.658305,1
-46.745946,-23.517471,D011700002,33234,AV   MARGINAL DIREITA DO TIETE,,,700,,2017/01/29 00:00:00,1,DOMINGO,JANEIRO,1899/12/30 05:20:00,2,D,,33,622,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,TT,NO3,NO,40,40,LAPA,,29772,,,,,,,,SI,,-23.517471,-46.745946,2
-46.585492,-23.438737,D011700003,42220,RUA   USHIKICHI KAMIYA,,,1136,,2017/01/11 00:00:00,4,QUARTA-FEIRA,JANEIRO,1899/12/30 14:20:00,4,D,,73,407,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CN2,CN2,CN,81,81,JACANA-TREMEMBE,,42220,,,,,,,,AT,,-23.438737,-46.585492,3
-46.647975,-23.551046,D011700004,2497,RUA   AUGUSTA,,,215,,2017/01/25 00:00:00,4,QUARTA-FEIRA,JANEIRO,1899/12/30 06:28:00,4,D,,4,746,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OE1,OE1,OE,26,26,SE,,2497,,,,,,,,AT,,-23.551046,-46.647975,4
-46.606312,-23.499115,D011700005,12926,RUA CEL  MARCILIO FRANCO,,,524,,2017/01/18 00:00:00,4,QUARTA-FEIRA,JANEIRO,1899/12/30 16:20:00,2,D,,9,218,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CN2,CN2,CN,86,86,VILA MARIA-VILA GUILHERME,,12926,,,,,,,,CO,,-23.499115,-46.606312,5
-46.75383,-23.49087,D011700006,17049,RUA CEL  JOSE RUFINO FREIRE,,,247,,2017/01/08 00:00:00,1,DOMINGO,JANEIRO,1899/12/30 02:00:00,2,D,,33,128,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NO1,NO3,NO,95,95,PIRITUBA,,17049,,,,,,,,QM,,-23.49087,-46.75383,6
-46.752028,-23.563799,D011700007,5141,ES  DAS CACHOEIRAS,,,40,,2017/01/29 00:00:00,1,DOMINGO,JANEIRO,1899/12/30 23:25:00,2,D,,74,812,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OE2,OE2,OE,67,67,BUTANTA,,5141,,,,,,,,CO,,-23.563799,-46.752028,7
0,0,D011700008,98750,SI   SEM INFORMACAO DE ENDERECO,,,0,NC,2017/01/11 00:00:00,4,QUARTA-FEIRA,JANEIRO,1899/12/30 10:16:00,4,D,,8,304,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,SI,SI,SI,SI,SI,SI,,98750,,,,,,,,AT,,0,0,8
-46.69382,-23.74398,D011700009,19490,AV   ANTONIO CARLOS B.DOS STO(COCAI,,,248,,2017/01/01 00:00:00,1,DOMINGO,JANEIRO,1899/12/30 12:00:00,2,D,,85,226,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU4,SU4,SU,30,30,CAPELA DO SOCORRO,,19490,,,,,,,,QM,,-23.74398,-46.69382,9
-46.701249,-23.462065,D011700010,15837,RUA   DOMINGOS VEGA,68246,AV   ALMIR DEHAR,0,,2017/01/20 00:00:00,6,SEXTA-FEIRA,JANEIRO,1899/12/30 20:39:00,2,D,,45,524,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NO2,NO2,NO,11,11,FREGUESIA-BRASILANDIA,,15837,23446,,,,,,,CF,,-23.462065,-46.701249,10
