X,Y,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,PLACA1,TIPO_PLAC1,PLACA2,TIPO_PLAC2,PLACA3,TIPO_PLAC3,TIPO_ACIDE,MI_PRINX
329388.275195151,7403046.41674859,D011700137,15425,,100,,2017/01/28 00:00:00.000,0800,2,D,,72,838,,,00100000000000000,0100,NO2,11,,15425,,,,,,,,QF,343283
329625.693908376,7402924.02142725,D011700522,06450,,4000,,2017/01/09 00:00:00.000,1300,2,D,,38,122,,,01000000000100000,0100,CN1,13,,06450,,DUY4931,MO,DJL8636,CM,,,CO,343668
329707.729857687,7402985.77662169,D021700476,15426,09420,,,2017/02/15 00:00:00.000,0800,2,D,,38,738,,,11000000000000000,0100,CN1,13,,06450,27923,DYY0721,MO,DZG6293,AU,,,CO,344556
329461.293814501,7402996.09664894,D021700581,15425,03771,,,2017/02/03 00:00:00.000,0640,2,D,,28,922,,,00011000000000000,0100,NO2,13,,03771,15425,FFU8117,CA,,,,,CO,344661
329621.992848789,7402987.66178675,D021700629,09420,,5143,,2017/02/17 00:00:00.000,0800,4,D,,38,698,,,01000000000000000,0100,CN1,13,,09420,,DZN1353,MO,,,,,AT,344709
329359.504132768,7402779.27679052,D041700567,03771,,4000,,2017/04/26 00:00:00.000,0830,2,D,,28,3874,,,01000000000000000,0100,CN1,13,,03771,,EQR4999,MO,,,,,QM,346832
329512.567269204,7402891.58677727,D041700969,03771,,4200,,2017/04/25 00:00:00.000,0050,2,D,,72,3161,,,10100000000000000,0300,CN1,13,,03771,,DUR3476,AU,FAT6528,ON,,,CO,347234
329408.630862181,7403035.46708775,D051700921,11141,15425,,,2017/05/26 00:00:00.000,1632,4,D,,72,3987,,,10000000000000000,0100,NO2,11,,11141,15425,DEC4806,AU,,,,,AT,348391
329546.269031415,7402989.44116916,D051701216,06450,09420,,,2017/05/16 00:00:00.000,1049,4,D,,38,2152,,,01000000000000000,0200,CN1,13,,06450,27923,DZL1878,MO,,,,,AT,348686
329461.293814501,7402996.09664894,D061700111,15425,03771,,,2017/06/28 00:00:00.000,1555,2,D,,72,2495,,,11000000000000000,0100,NO2,13,,03771,15425,HCZ2444,MO,PZO8774,,,,CV,348806
