V1;V2;V3;V4;V5;V6
;;Marginais - expressa - carros;20/07/2015;90;70
;;Marginais - expressa - caminhões;20/07/2015;70;60
;;Marginais - centrais;20/07/2015;70;60
;;Marginais - locais;20/07/2015;60;50
33234;332348;AV MARGINAL DIREITA DO TIETE;20/07/2015;;
15188;151882;AV OTAVIANO ALVES DE LIMA;20/07/2015;;
2421;24210;AV ASSIS CHATEAUBRIAND;20/07/2015;;
6371;63711;AV CDSSA ELISABETH DE ROBIANO;20/07/2015;;
14270;142700;AV MORVAN DIAS DE FIGUEIREDO;20/07/2015;;
12436;124362;AV EMB MACEDO SOARES;20/07/2015;;
4561;45616;AV PRES CASTELO BRANCO;20/07/2015;;
3376;33766;AV ENG BILLINGS;20/07/2015;;
12502;125024;AV MAGALHAES DE CASTRO;20/07/2015;;
8889;88897;R HUNGRIA;20/07/2015;;
35858;358584;AV GUIDO CALOI;20/07/2015;;
6238;62383;AV DAS NACOES UNIDAS;20/07/2015;;
15656;156566;Avenida Paulista;28/10/2013;60;50
46936;469360;Avenida Jacu-Pêssego;03/08/2015;60;50
2181;21814;Avenida Aricanduva;03/08/2015;60;50
36081;360813;Elevado Engenheiro Alberto Badra;03/08/2015;60;50
1356;13560;Avenida Angélica;17/08/2015;60;50
1930;19305;Avenida Nadir Dias de Figueiredo;17/08/2015;60;50
61;612;Avenida Dr Abraão Ribeiro;17/08/2015;60;50
15270;152706;Avenida Pacaembu;17/08/2015;60;50
14433;144339;Rua Major Natanael;17/08/2015;60;50
8714;87149;Rua Henrique Schaumann;20/08/2015;60;50
33683;336831;Avenida Paulo VI;20/08/2015;60;50
18519;185191;Avenida Sumaré;20/08/2015;60;50
1475;14753;Avenida Antártica;20/08/2015;60;50
29035;290351;Viaduto Antártica;20/08/2015;60;50
296;2968;Avenida Afrânio Peixoto;20/08/2015;60;50
19899;198994;Avenida Valdemar Ferreira;20/08/2015;60;50
63086;630861;Avenida Professor Manuel Chaves;20/08/2015;60;50
10918;109185;Avenida Vereador José Diniz;20/08/2015;60;50
46544;465445;Avenida Carlos Caldeira Filho;20/08/2015;60;50
34682;346829;Estrada do Campo Limpo;20/08/2015;60;50
8367;83674;Avenida Guarapiranga;24/08/2015;60;50
